case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error
158,0.19534647172104835,0.7439165,0.0,0.5241239717472346,0.5547163,1.0,0.4233328821819189,0.31710482,1.0,0.7494888401197191,0.7951715,1.0,58.432517871398254,56.264282,1.0,0.16692122417660693,0.3236547,1.0
143,0.49827280252271755,0.48066285,1.0,0.9585452915644925,0.96283907,1.0,0.3186644310202593,0.4454732,1.0,0.9965383463792987,0.7512397,0.0,23.068886154009466,20.406681,1.0,0.13152774845029566,0.3227437,1.0
111,0.969817234375475,0.60874766,1.0,0.8754198433129352,0.6030671,0.0,0.42503725005412085,0.5312019,1.0,0.7381321643668386,0.7321954,1.0,1.2059336809888899,6.489081,1.0,0.0312301599019839,0.31821352,1.0
118,0.7974436082692203,0.78498185,1.0,0.820353579552234,0.8579016,1.0,0.01399488814290073,0.5375799,0.0,0.9096333581088547,0.7156522,1.0,8.362571473902824,7.128692,1.0,0.11490751244329138,0.3115811,1.0
53,0.9161828618545592,0.90204805,1.0,0.971742740590979,0.98172927,1.0,0.6046500443349546,0.68289864,1.0,0.9175546136503068,0.8953274,1.0,27.953430986554714,28.064627,1.0,0.13779137024787613,0.30327865,1.0
108,0.3991493304999416,0.40157196,1.0,0.8767611698713155,0.8910957,1.0,0.8984235102740983,0.62081546,1.0,0.5396729242352312,0.60896933,1.0,65.75537819888358,65.996704,1.0,0.316788733995972,0.29686505,1.0
9,0.054116522541620915,0.2118757,1.0,0.8234655357048999,0.8313189,1.0,0.26732859641542284,0.47035977,1.0,0.7641753342435844,0.77409506,1.0,13.498127951994928,14.077978,1.0,0.30168355313577055,0.2787271,1.0
198,0.732505443251271,0.7929556,1.0,0.5570248804684121,0.56587625,1.0,0.34493296088283976,0.35072446,1.0,0.867424092016255,0.84218395,1.0,54.778495146561866,65.90734,1.0,0.15229184533826925,0.26724088,1.0
76,0.12410389190432214,0.12945145,1.0,0.5850943646540672,0.59652144,1.0,0.7593238723737208,0.57052314,1.0,0.939416233558443,0.7717779,1.0,79.09823048109739,86.55965,1.0,0.18850553786045857,0.25203738,1.0
86,0.7200497517883326,0.52657205,1.0,0.809465547537493,0.7629735,1.0,0.39631013813574756,0.43511018,1.0,0.937722047754066,0.93626124,1.0,91.34574478757101,85.90083,1.0,0.19194886393327049,0.25104097,1.0
