q_d_n,q_d,q_s_n,q_s,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing
0.70468605,0.8447518,0.03150765,0.9655833,51.901783,1.4716834,0.001558716,0.12032476,0.1468446
0.06467843,0.75669414,0.07872859,0.8322054,75.881226,1.9246519,0.004772052,0.08071307,0.017536584
0.1215682,0.934405,0.057070807,1.0015045,76.102486,1.6066988,0.0029563946,0.05496614,0.36863697
0.11383909,0.6732029,0.039979782,0.9629307,95.40493,1.4354581,0.0047310274,0.23737578,0.22299325
0.07396299,0.94277394,0.15070821,0.8744037,76.93151,1.2368647,0.0012567036,0.035413675,1.7332972
0.7612553,0.8901127,0.07365014,0.9283478,68.5737,1.6950816,0.003803957,0.25001648,0.018839298
0.09927881,0.73929197,0.10980312,0.96568096,54.30991,1.5114957,0.001413944,0.15321332,1.5970379
0.03341645,0.9428221,0.02508433,0.9156014,92.0992,1.2516581,0.0018193151,0.038562775,0.1405934
0.6917894,0.8613541,0.024205994,0.7652973,91.49898,1.6781565,0.005054716,0.30753,0.25013462
0.75144404,0.95403814,0.03637454,0.872438,98.25863,1.6554828,0.0047253324,0.034860596,0.02038309
0.8239825,1.0000433,0.0806908,0.8754648,76.88611,1.0725703,0.0013580783,0.0529938,0.060640134
0.6142787,0.98102605,0.051248625,0.93948233,35.408764,2.0654693,0.0011534306,0.09045329,1.1652148
0.67609787,0.9759363,0.031580284,0.9231185,94.13484,1.7173065,0.0048503107,0.034755882,0.53464043
0.063831866,0.85447156,0.03951998,0.9277448,81.49501,0.9372461,0.0010732096,0.05845266,0.12298203
0.5820342,0.7822603,0.049525846,0.94827664,66.547,2.3956757,0.006644809,0.15153997,1.834472
0.46996096,0.7440659,0.07125737,0.9414814,95.19516,1.6961789,0.005086229,0.14538352,0.011638565
0.09369224,0.84631,0.10934453,0.98787004,75.938416,1.7662052,0.0040594214,0.04549062,0.47804803
0.6324973,0.9036456,0.028223863,0.94304174,91.18633,1.4322705,0.0032729157,0.047928475,0.2948212
0.057804167,0.71799755,0.0931057,0.8465281,79.83618,1.574022,0.0035654532,0.13144842,0.066427276
0.648227,0.9658665,0.061323192,0.76477426,75.163734,0.9756862,0.0010016029,0.047113135,0.075670905
0.17967993,0.72747105,0.059569657,0.85485727,50.5903,1.8302151,0.002842345,0.30749205,0.17855115
0.43757126,0.77069366,0.0315229,0.8490377,67.38019,1.5434961,0.0026566335,0.05952209,0.025852343
0.29184687,0.9861641,0.016779076,0.8513411,72.333145,1.3318459,0.0023586398,0.0600665,0.32200423
0.048305452,0.7110044,0.030328525,0.96287316,74.57421,1.697055,0.0030393659,0.08264068,0.32341906
0.31341267,0.99155724,0.06986359,0.87540317,58.420063,1.7845833,0.0025509957,0.051690113,0.015157317
0.14432323,0.7064297,0.04728259,0.9045702,70.965485,1.3021183,0.002425766,0.16275863,0.14246188
0.5784265,0.9372617,0.019597445,0.9883735,66.649666,1.6840662,0.002805152,0.051936302,1.2194374
0.46064585,0.9119077,0.022368278,0.7537597,53.800728,1.4468131,0.0019617272,0.08621736,0.014814658
0.60845065,0.80885416,0.036047857,0.78057843,75.71727,0.78977305,0.00056627113,0.11621443,0.18733712
0.6012937,0.7992656,0.015955754,0.8127606,91.49405,1.1711292,0.0025718226,0.24586944,0.23898801
0.6480171,0.9696285,0.07823288,0.9545349,56.919357,1.9326777,0.0031788554,0.045084834,0.06512837
0.21604574,0.7225511,0.02813209,0.8842717,91.699814,1.4621481,0.0032907603,0.10737326,0.23513523
0.3141054,0.77394307,0.044183485,0.8252761,40.607395,1.6153934,0.0013116369,0.23665224,2.0046768
0.38728872,0.7199224,0.12138193,0.8890712,74.947845,1.4055669,0.002823952,0.17122045,0.034820683
0.2238146,0.86545426,0.012383313,0.9065368,67.59998,1.9763525,0.0040335273,0.04797778,1.5865754
0.49800712,0.9107168,0.025922677,0.78520525,88.95508,1.675935,0.0037359286,0.052177258,0.09960664
0.5658876,0.882993,0.041467164,0.8997664,71.126,1.073736,0.0015047459,0.055175062,0.26645607
0.40314057,0.96069956,0.051842377,0.9538379,75.3591,1.3110536,0.0017842897,0.051925648,0.011535368
0.40339732,0.9664707,0.023351012,0.8512755,82.25878,1.6155605,0.0034372362,0.036996122,0.017961597
0.23760808,0.8940216,0.023716193,0.9953742,87.87898,1.9399266,0.004866091,0.0479946,0.9995676
0.20285004,0.8725852,0.020227289,0.85893,81.54772,1.6481937,0.0036170052,0.045204997,0.9172662
