subject_id,eta,rho,q_d_n,q_d,q_s_n,q_s,cost_stop_error,inv_temp
NDAR_INV7M6BGL3E,0.29543757,0.654393,0.87222785,0.84331584,0.04060141,0.66816247,1.7525685,67.80961
NDAR_INVAPJKJ5KB,1.383506,0.88163054,0.81373584,0.8292769,0.018784756,0.8078752,1.7407964,39.48107
NDAR_INV08YLBTNH,2.9220662,0.9194361,0.6091578,0.7752513,0.027723132,0.6229706,1.9662741,93.27659
NDAR_INVETEZAGR2,0.49455607,0.300311,0.9847832,1.084045,0.030865613,0.9110624,1.7668047,62.536644
NDAR_INVMXGV952X,-0.07779332,0.7714288,0.73389816,0.9186553,0.055477194,0.9412206,1.6469551,37.73626
NDAR_INV5DNKJ4H4,0.013874024,0.5593387,0.8397104,0.8212544,0.030970134,0.6616407,1.7233667,14.080979
NDAR_INVNC7PM9RJ,0.09422228,0.40472925,0.7823239,0.83083797,0.082609296,0.71241343,1.8333853,15.908074
NDAR_INV00BD7VDC,-0.01040715,0.40895668,0.87334514,0.8765948,0.025806287,0.72850275,1.6458647,18.592417
NDAR_INV46KRVLWU,0.8051648,0.7013034,0.78457886,0.8803718,0.02125742,0.7158265,1.743488,38.27549
NDAR_INVL06P62BN,-0.055076323,0.4628782,0.9122582,0.8038257,0.03831471,0.61386764,1.6550009,14.824635
NDAR_INVM5C3J0GA,0.42610472,0.6043065,0.78442675,0.84952277,0.01825619,0.71485996,1.7757456,40.082314
NDAR_INV6UPZCK82,0.78269774,0.102360554,0.9399487,0.9512817,0.02233529,0.6332913,1.4601278,44.839397
NDAR_INVYPZAV10C,2.4392378,0.9408185,0.75589055,0.82190317,0.022731867,0.6477224,1.9289825,94.77485
NDAR_INVLBK0GFNR,0.3701848,0.6312544,0.7815616,0.8404436,0.030991273,0.71767217,1.6671338,69.00629
NDAR_INVY9FMUL8B,1.3133953,0.87709075,0.92768145,0.89566183,0.017516807,0.6959518,1.7607615,59.985325
NDAR_INVTD0D86H6,-0.00909086,0.2924665,0.937134,1.6159616,0.017110221,0.78995454,1.8212689,65.41142
NDAR_INV0387TP8R,0.07073611,0.50644726,0.74234706,0.7692035,0.048705958,0.9313876,1.613435,40.580296
NDAR_INV75ZYAV1X,0.003646839,0.49990898,0.86796474,0.8304148,0.031027218,0.687952,1.7056978,19.758682
NDAR_INVX14LJX8Z,0.45790505,0.7766526,0.87066096,0.8628128,0.02709369,0.687129,1.6615784,39.21826
