subject_id,cost_go_error,cost_go_missing,cost_stop_error,cost_time,inv_temp,q_d,q_d_n,q_s,q_s_n,rate_stop_trial
INV0T41MTFH,1.0,1.0,1.7803309630028374,0.001,63.98546347427368,0.8843325770497322,0.7693211197555065,0.721122183650732,0.0350060553482241,0.1666666666666666
INV0T7889MV,1.0,1.0,1.5661209188522558,0.001,64.80357557868957,0.772412739276886,0.6015626174516511,0.6954119629859924,0.0518546511490003,0.1666666666666666
INV0TRD5ZK4,1.0,1.0,1.4846808226358312,0.001,44.31093685722351,0.8078066892623902,0.707157704253681,0.6946597158014775,0.0457577190904971,0.1666666666666666
INV0TTJA443,1.0,1.0,1.6732272214513453,0.001,91.69716544914246,0.7308142396509647,0.2685824220102222,0.7776263283491135,0.0488248339633391,0.1666666666666666
INV0U0ZAG3B,1.0,1.0,1.1581711673357953,0.001,64.90014778137207,0.6646687709987164,0.499343890633143,0.8670216524899006,0.0283601988520804,0.1666666666666666
INV0U1JRFPK,1.0,1.0,1.687337715543708,0.001,32.511649459838864,0.7723546242117881,0.7931780021488667,0.6778205646574498,0.0479973343024521,0.1666666666666666
INV0U23M45G,1.0,1.0,1.718825283997136,0.001,45.56377977752685,0.8099938752353192,0.739509013463743,0.6424871079325676,0.0623841595742853,0.1666666666666666
INV0U317B9P,1.0,1.0,1.4184831375734297,0.001,70.69382780838012,0.7123866376280784,0.2310723040066077,0.7973334610164166,0.0243944958901806,0.1666666666666666
INV0U8DTCDG,1.0,1.0,1.7654893686954272,0.001,28.151083326339723,0.8529325578808784,0.763081910887966,0.6912675966918469,0.0334931363748,0.1666666666666666
INV0UA1UW6C,1.0,1.0,0.5129279332178275,0.001,92.24816701507568,0.5827802121341229,0.0685810315470236,0.7934511197805405,0.2498218222622527,0.1666666666666666
INV0UD3BJFR,1.0,1.0,1.645209941006193,0.001,38.3962727432251,0.8846592093110085,0.8810104563757777,0.6889843390583992,0.0319007739851731,0.1666666666666666
INV0UERLJJY,1.0,1.0,1.3222588416685066,0.001,75.3308454360962,0.8207461709976196,0.6983217744445428,0.8931577129065991,0.0389304366351752,0.1666666666666666
INV0UL9YFZJ,1.0,1.0,1.1086530301043702,0.001,83.5316049785614,0.870280826985836,0.8456538129984401,0.6932348938286305,0.062302663655184,0.1666666666666666
INV0ULZKXXG,1.0,1.0,1.7574280306383,0.001,71.9281065979004,0.8389205212891102,0.8946034098267556,0.7124643625319004,0.0426123778839832,0.1666666666666666
INV0UMM15GY,1.0,1.0,1.7814647056440949,0.001,68.8255770740509,0.8613005984127522,0.8242297407984733,0.6649843256473541,0.0782059676097032,0.1666666666666666
INV0UV5WZUN,1.0,1.0,1.6585071383388603,0.001,56.96208123207092,0.8933354571759701,0.8165935679459945,0.8233881853818893,0.1119633868958844,0.1666666666666666
