index,mean,std,5%,50%,95%,subject_id,subject_year
q_s,0.71165851354599,0.1070776504434259,0.5728507310152053,0.7050606906414032,0.8794149577617645,SUB,010.csv
inv_temp,87.02766723632813,8.322792271029279,75.02501029968262,89.36934280395508,95.75950508117675,SUB,010.csv
cost_stop_error,0.6161739198010749,0.2919310789990238,0.22850858329575569,0.5847155682619596,1.0567522749802623,SUB,010.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,010.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,010.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,010.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,010.csv
q_d_n,0.4903698697686195,0.17006521091568466,0.22895296588540076,0.5236895382404327,0.7093333423137663,SUB,011.csv
q_d,0.7284959197044373,0.13230554415761164,0.5496610194444657,0.7192704379558563,0.8996889054775237,SUB,011.csv
q_s_n,0.42115250080823896,0.24669973092050215,0.12609794959425927,0.3889063596725464,0.7876807540655133,SUB,011.csv
q_s,0.7464275181293487,0.15054185664767122,0.5593483507633209,0.7300752103328705,0.9815546542406082,SUB,011.csv
inv_temp,79.82601165771484,9.156953938504508,67.23269309997559,80.34155654907227,91.77998123168945,SUB,011.csv
cost_stop_error,0.5202487022981179,0.1929134364092494,0.22810799756862374,0.5902211089983136,0.7178628891576827,SUB,011.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,011.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,011.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,011.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,011.csv
q_d_n,0.46876808553934096,0.15509958304165491,0.2386108495295048,0.46442732214927673,0.6769308060407638,SUB,012.csv
q_d,0.7228050768375397,0.12142837880738848,0.5577269732952118,0.7659766674041748,0.8737927049398422,SUB,012.csv
q_s_n,0.4261927089653909,0.28972110434132253,0.0330691593233496,0.4717585891485214,0.766103059053421,SUB,012.csv
q_s,0.7117941737174988,0.12340896890419238,0.6106929779052734,0.6515192687511444,0.9170937061309813,SUB,012.csv
inv_temp,87.51416473388672,11.820397089791195,68.42500686645508,90.91468811035156,99.11395301818848,SUB,012.csv
cost_stop_error,0.38685521406745166,0.1310798013891895,0.2625238097292902,0.36122365224906017,0.6123155830595203,SUB,012.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,012.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,012.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,012.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,012.csv
q_d_n,0.41254701763391494,0.14318439761002824,0.19549524262547494,0.4071732461452484,0.6068858087062835,SUB,013.csv
q_d,0.8239695131778717,0.07337984467599143,0.7333121329545975,0.8268752694129944,0.9318867057561874,SUB,013.csv
q_s_n,0.30529252961277964,0.20733760632387777,0.12430240623652936,0.23451677709817886,0.6665502309799192,SUB,013.csv
q_s,0.7551337838172912,0.12423359361072639,0.6038688808679581,0.7392738461494446,0.9414458960294723,SUB,013.csv
inv_temp,84.83490753173828,7.759862019556715,74.21348037719727,85.21964645385742,95.38347663879394,SUB,013.csv
