q_d_n,q_d,q_s_n,q_s,tau,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing
0.3566344,0.7408434,0.028071046,1.0008038,8.5009,96.983055,1.284998,0.016165985,0.78342825,1.6657578
0.4983618,0.7544757,0.077558756,0.9382691,8.58377,80.640915,0.9026883,0.012661188,0.6521472,0.03573108
0.19093382,0.7098149,0.025298119,0.738467,7.726673,89.01279,1.3864611,0.020035928,1.4703786,0.0699471
0.43979955,0.7542274,0.11823535,0.919124,8.451073,51.79444,1.570995,0.020189269,1.2248412,0.16573621
-0.07211053,0.6653779,0.26844853,0.85329294,7.473578,83.99117,1.7386172,0.021146683,1.5805376,0.1628628
0.097768426,0.6875292,0.08270311,0.9118505,8.587269,66.85535,1.2793453,0.024456218,1.4275018,0.01591055
0.024173617,0.70848125,0.065808296,0.9677768,7.5556464,83.107544,0.34072584,0.0038097403,0.49656203,0.061242558
0.34670556,0.74395835,0.037868023,0.98500955,7.771139,44.827557,1.7208118,0.02142828,1.4543928,0.3063981
0.07755035,0.99203753,0.1257075,0.85655624,7.6515703,70.85053,1.248377,0.007468064,0.038251147,0.014463447
0.14441895,0.72282106,0.041944385,0.99386686,7.8873167,58.857033,1.3824949,0.0123609165,0.6702816,0.030123679
0.25941288,0.7367363,0.03167224,0.8943528,7.7125025,69.962746,1.7451699,0.021823902,1.3223064,0.18365318
0.17316687,0.7284982,0.09746492,0.93057877,8.209644,83.47527,1.0981898,0.014236298,1.0224137,0.055246774
0.29004455,0.7018386,0.13736546,0.9558142,7.458498,61.832035,2.2762966,0.039768223,1.8992943,0.025898365
0.12868011,0.7121072,0.057855964,0.9259042,8.8710985,40.34358,2.1139235,0.026923722,1.4799253,0.055747002
0.454741,0.76049894,0.11941004,0.8811958,8.5981655,79.36824,0.7739625,0.00941254,0.7400124,0.05336492
0.087308526,0.7092615,0.029814363,0.95312816,7.9398985,97.40499,0.5257173,0.006191121,0.41510886,0.014340125
0.30361104,0.7497672,0.079521894,0.93980664,8.167713,98.91182,1.2758733,0.01518624,0.9339662,0.015573579
0.66142523,0.8367906,0.11317742,0.9662043,7.9570594,50.689476,1.8914294,0.021235503,0.9475452,0.17991482
0.49921593,0.8546915,0.0924952,0.8757762,8.168768,63.97468,1.5117091,0.012233183,0.2462449,0.015469901
0.25380528,0.76338917,0.13130689,0.9507288,6.7757916,53.29312,1.5734714,0.010086724,0.36303362,0.013838158
-0.003113389,0.6826315,0.060112596,0.99793005,8.509085,44.98533,0.80391306,0.00965165,0.638856,0.02217028
0.052616477,0.6882181,0.15331581,0.94950926,8.8868885,35.39602,0.78288376,0.007576317,0.5239862,0.01212465
0.0023439527,0.67268616,0.13194096,0.80699664,7.8476915,83.67913,1.3985718,0.022717997,1.4353191,0.3926953
0.11133206,0.7102525,0.04625225,0.93218946,7.943082,52.382618,0.7260976,0.005848837,0.46462992,0.023776751
-0.015875638,0.68786967,0.08727372,0.838933,6.5440874,87.7809,1.6306114,0.020439921,1.6127588,0.5822028
0.4681961,0.8676723,0.03320217,0.8720664,8.2423,60.41678,1.4317249,0.009952947,0.17227213,0.05554386
-0.019756794,0.69221985,0.08436525,0.8452528,8.455449,38.887253,0.5993624,0.0066080354,0.80721384,0.01333627
0.27670264,0.7436566,0.010680318,0.9675945,7.307205,58.435833,2.287614,0.02103438,0.79981345,0.10390355
0.47149003,0.76302695,0.067693114,0.8881849,8.216901,66.812874,1.3450292,0.019217117,1.3807372,0.2967638
0.23421168,0.70768285,0.059767723,0.9160217,7.124035,77.143394,1.3941708,0.013709599,0.6164853,0.100590646
0.23663461,0.7178291,0.0528208,0.8680657,8.056463,99.228134,0.42208782,0.0050716717,0.30938733,0.02753317
0.61945784,0.82052064,0.15099359,0.9738767,6.9623303,42.441242,1.3548678,0.008570796,0.37316316,0.0676367
0.07053727,0.7106272,0.100515366,0.93344355,8.060723,62.109596,0.6731772,0.0058411392,0.416381,0.16661887
0.17740262,0.7309792,0.12560904,0.8678236,8.308226,48.047016,1.1723105,0.0122810155,0.88410586,0.03725394
0.39611712,0.7604444,0.090791464,0.84521896,9.156327,86.86224,1.4748621,0.019487787,0.8831957,0.012244073
0.047959626,0.7155499,0.07772994,0.95598567,8.293956,56.694614,1.6756097,0.018459475,1.1295518,0.097915694
0.5301197,0.7784814,-0.020828485,0.82121366,7.0440636,56.347992,1.5553882,0.013886929,0.6571311,0.014140761
0.16013849,0.71155876,0.07988179,0.99058104,8.335407,61.5977,0.74729156,0.009846312,0.72467285,0.010947198
0.12114203,0.71488726,0.01880014,0.9352776,7.5548134,70.77641,1.852926,0.025080929,1.4119855,0.7091345
0.832597,0.96510726,0.04519677,0.8615696,7.9409533,59.990562,0.9499315,0.013048,2.0101337,0.076236114
0.11738837,0.7342761,0.08476186,0.77505517,7.1475596,53.765026,1.8504871,0.017200045,1.0988232,0.025406433
