case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing
36,0.3294824781736725,0.17324975,1.0,0.9009609519997028,0.8407935,1.0,0.1859257696661144,0.52647763,1.0,0.985036357807027,0.7006194,0.0,11.681764173627656,11.698822,1.0,30.959409321126397,35.29615,1.0,0.04346621779257288,0.07303694,1.0,0.00013342190935540995,0.014594321,0.0,0.1419070562817103,0.5196376,1.0,1.9995836428391958,0.38316515,0.0
37,0.11414607014392286,0.573802,1.0,0.6337797148328155,0.7862285,0.0,0.7615023343546908,0.5197035,1.0,0.7084433598004305,0.72216195,1.0,8.936203671030848,8.947459,1.0,10.89599534220728,34.434174,0.0,0.04355993589902119,0.11043763,1.0,0.0004795301399410267,0.0036217151,1.0,0.31167349788942,0.24635355,1.0,0.021081200561984197,0.32141143,1.0
38,0.8645539049917667,0.5821704,1.0,0.5358481796552437,0.67595154,1.0,0.2850018436874927,0.4936709,1.0,0.6013654925532623,0.7307031,1.0,15.197392755634995,15.187821,1.0,20.24942165900417,28.85199,1.0,0.029429181037945708,0.16648816,1.0,0.00910880394259518,0.015812676,1.0,0.026018098630863937,0.098122016,1.0,0.7676396478402786,0.4474721,1.0
39,0.06361798697428656,0.5952604,0.0,0.6675779129186913,0.6554873,1.0,0.7073833318144999,0.5341854,1.0,0.5594162178864867,0.71790457,1.0,13.482036612175573,13.468029,1.0,44.75630751427265,26.047329,1.0,0.09335214379072472,0.120947175,1.0,0.00020765656438661998,0.001027901,1.0,0.021462981121923255,0.13679667,1.0,0.6028928011271723,0.4508548,1.0
40,0.9204016048146458,0.6126937,1.0,0.9266628051133751,0.6703668,0.0,0.9647701092597218,0.51628935,0.0,0.8204625966729033,0.72900337,1.0,9.60269820579595,9.584073,1.0,23.68539966481941,33.15104,1.0,0.27230842957041457,0.1638587,1.0,0.01208901627010453,0.023222942,1.0,0.016868814825225443,0.114943564,1.0,0.1055720960464834,0.40195367,1.0
41,0.5904710871819723,0.59723264,1.0,0.551255503518737,0.7105376,1.0,0.4290958067823296,0.45727202,1.0,0.7535409605684091,0.75098264,1.0,14.151606965350457,14.18417,1.0,12.465334602959713,37.27622,0.0,1.320907627576375,0.90203094,1.0,0.0038259768855980736,0.0032044621,1.0,0.3241510894573293,0.07144636,0.0,0.04171825084905929,0.36836857,1.0
42,0.350594616773111,0.5196509,1.0,0.9867296902903335,0.78323644,0.0,0.3517325377858743,0.2661331,0.0,0.8014556239303401,0.8652543,1.0,15.32989706245065,13.666807,0.0,44.72893048506875,63.173634,1.0,1.2571920232406708,1.2580488,1.0,0.00019286258297349895,0.0007451376,1.0,0.01733183913076926,0.02803116,1.0,0.10707200081926588,0.49232718,1.0
43,0.5371118913962524,0.52051556,1.0,0.7952827333903716,0.83928895,1.0,0.9047460652859624,0.89829594,1.0,0.809784756036862,0.8333128,1.0,5.581408903325664,4.729592,1.0,81.02638041248517,91.02228,1.0,1.1796439497225408,1.6282227,1.0,0.003235230732921454,0.0047233505,1.0,0.17673785486617316,0.17732206,1.0,0.06331531827804913,0.067668036,1.0
44,0.8049966600952312,0.55410755,1.0,0.6008047573573182,0.7119231,1.0,0.11115323324913351,0.5088831,1.0,0.7416140809382792,0.7416452,1.0,12.171094742734459,12.157698,1.0,34.726152690483985,30.21864,1.0,0.12235122868091919,0.1691052,1.0,0.012438903520696577,0.018221406,1.0,0.10600621311113836,0.11688419,1.0,0.12963468600064226,0.40410855,1.0
45,0.02201433996628599,0.53345764,0.0,0.5705221404207221,0.6424294,1.0,0.38157762679194696,0.17425297,0.0,0.6335180824607705,0.6554642,1.0,8.67028841310373,8.6396055,1.0,11.178377608098566,31.310535,0.0,1.7423436317133563,0.9393335,1.0,0.0027980214982955376,0.0014427634,1.0,0.7302990462038249,0.34696487,1.0,0.08247062268557241,0.046667047,1.0
46,0.26609223110656466,0.62620157,1.0,0.5830557525598677,0.651723,1.0,0.20061456829952895,0.32483453,1.0,0.7602514990698854,0.8135502,1.0,4.318994362851475,4.3051863,1.0,24.592826173943568,27.08082,1.0,0.15522122126398627,0.26491687,1.0,0.00036562751392345147,0.0013145668,1.0,0.02063761206759396,0.06023082,1.0,0.07019071077973685,0.39016148,1.0
47,0.3321074781430461,0.40951288,1.0,0.9621354446973296,0.81480664,1.0,0.8779076585479078,0.48991537,1.0,0.6963030369197172,0.74236715,1.0,5.852079090223533,5.871449,1.0,12.918212310058045,32.827698,1.0,0.014233530797219073,0.051962655,1.0,0.00034837742190933584,0.012357599,0.0,0.05796500546896535,0.19968131,1.0,0.035816408039539255,0.42830914,1.0
