case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
81,0.8687747354524004,0.42022508,0.0,0.9604617978198776,0.84461987,1.0,0.6946390779489204,0.68359816,1.0,85.82106067663048,47.73974,1.0,0.24434845040638922,0.54848564,1.0,0.00046348581486610734,0.00045736277,1.0,0.033276830404168366,0.0752462,1.0
82,0.33192983136388576,0.31996337,1.0,0.7957393049298662,0.87245005,1.0,0.6556138468089725,0.6790576,1.0,14.571116012112348,41.80661,1.0,1.4386176265652237,0.86582595,1.0,0.00032513075626445197,0.0004462481,1.0,0.6769648633699091,0.2300686,0.0
83,0.02989159846275391,0.55349845,0.0,0.5053672490769656,0.64236844,0.0,0.703127723348568,0.7118748,1.0,80.89369507108952,41.693256,1.0,0.3805873857382134,1.1491094,0.0,0.003322606482176138,0.011605565,0.0,0.011344170298227117,0.08191668,1.0
84,0.5608305300937654,0.5668509,1.0,0.5434509539775043,0.64508486,1.0,0.7280183520120593,0.7217039,1.0,27.484393583500754,23.037512,1.0,0.11387740672648822,0.092276245,1.0,0.0008917570293369714,0.0016757176,1.0,0.014883192759159522,0.15898933,1.0
85,0.800285951528842,0.59473425,1.0,0.7898206260845251,0.67693794,1.0,0.6993854321681806,0.6840159,1.0,37.08742660451095,26.811312,1.0,0.18856034562130483,0.5295076,1.0,0.00012000792050995983,0.0008027568,1.0,0.03647666448221033,0.06044045,1.0
86,0.6043187659284492,0.55819285,1.0,0.7788992409904874,0.73307127,1.0,0.7301657327456834,0.74244446,1.0,47.557611839255145,63.379173,1.0,1.1256159092504046,0.4572755,1.0,0.027512066727727675,0.035390448,1.0,0.01631125241881146,0.103685424,1.0
87,0.4300724182624489,0.48639467,1.0,0.6282092614131177,0.7220993,1.0,0.8784787952718349,0.81639904,1.0,31.179734752666356,39.120422,1.0,1.081280131221189,1.1231191,1.0,0.0005209707799643836,0.0004479087,1.0,0.12009311797177831,0.09649699,1.0
88,0.3464057790079229,0.12715718,0.0,0.9497150880831271,0.9378653,1.0,0.5384765814202002,0.58790594,1.0,92.41775203833954,43.285946,1.0,0.578353337896922,0.43921182,1.0,0.007807753873011145,0.0027363629,1.0,0.35082183688371255,0.28411093,1.0
89,0.34332568603837343,0.56377894,1.0,0.5405323132041704,0.665358,1.0,0.9617454726868085,0.8258624,0.0,20.01041802417804,22.993883,1.0,0.3021324611154484,0.37417376,1.0,0.000481322618601644,0.0013832855,1.0,0.02070813031921995,0.06662247,1.0
90,0.5199090298870054,0.5597894,1.0,0.9404956205285282,0.951044,1.0,0.6105260094712184,0.7069849,1.0,49.65035899821229,34.54639,1.0,0.1788351044833834,0.116017684,1.0,0.0032696589439227723,0.005049551,1.0,0.320699900273164,0.6451613,1.0
91,0.4772319135576749,0.5501756,1.0,0.9323013486675227,0.67511135,0.0,0.5392447756981662,0.67599386,1.0,12.992832622416866,27.466208,1.0,0.7581031936951467,0.16676386,0.0,0.00016580048275222344,0.0011306446,1.0,0.018342778216024314,0.27765986,1.0
92,0.9268249707184876,0.4319615,0.0,0.9088754052139066,0.8341542,1.0,0.5938864577082223,0.7305654,1.0,51.10677184812565,34.997234,1.0,0.14174376954352305,0.18239035,1.0,0.016434512720344043,0.01875767,1.0,0.20835184592118633,0.12587138,1.0
93,0.19412711232167057,0.5847403,1.0,0.6093742141140412,0.6686443,1.0,0.7693987093475123,0.74212193,1.0,32.75577098248398,25.410719,1.0,0.011933484555072494,0.12180164,0.0,0.0029976051141221505,0.014312754,1.0,0.012944926509654451,0.12216315,1.0
