case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing
54,0.42406966202429275,0.25322554,1.0,0.9868514850729342,0.9787522,1.0,0.9813417936000236,0.49380675,0.0,0.6937070551097159,0.7567372,1.0,49.36396708546222,38.076626,1.0,0.4003127903200289,0.16675174,1.0,0.01623119524908377,0.01118286,1.0,0.3275812010897893,0.5346434,1.0,0.013966274633637655,0.38587394,0.0
55,0.00391912267969885,0.5904845,0.0,0.7931656804529332,0.68876946,1.0,0.2041557704839495,0.5210138,1.0,0.7918173831631982,0.7293008,1.0,39.964570804982294,28.770794,1.0,0.0296061728319134,0.19749044,1.0,0.008736250596162343,0.01492943,1.0,0.01617354714055463,0.10309475,1.0,0.8736402316679764,0.4104125,1.0
56,0.7247281057856574,0.37911958,1.0,0.8164641446276066,0.85941833,1.0,0.28373091125545447,0.25615424,1.0,0.852527837275032,0.7661803,0.0,76.13150289944097,56.60364,1.0,0.6944925301843276,1.208673,1.0,0.001574989411948442,0.002762899,1.0,0.09237197126747534,0.06619018,1.0,0.01490616860278511,0.35748237,1.0
57,0.7520026371248489,0.6075435,1.0,0.6687434216652737,0.6686951,1.0,0.2420213684701874,0.5555276,1.0,0.6956729641861294,0.7611709,1.0,92.08582117391892,71.87221,1.0,0.8264273942840326,0.7011227,1.0,0.031489526953439706,0.035106517,1.0,0.01960521326264216,0.107569166,1.0,0.055087762733931254,0.43526217,1.0
58,0.11235128397371386,0.11918563,1.0,0.8772609271161222,0.9074198,1.0,0.8155939187575718,0.7319546,1.0,0.8881112817758231,0.8537107,1.0,46.658326585769274,67.87553,1.0,0.21794819797371068,0.4163968,1.0,0.000351800960035238,0.0027227527,1.0,1.566756984402646,1.5285615,1.0,0.7442378179451535,0.39941156,1.0
59,0.9146352814858103,0.57932925,1.0,0.6831449039585942,0.6452831,1.0,0.44393738319865717,0.549548,1.0,0.9478225586631447,0.7199923,1.0,16.683771236987152,26.179049,1.0,0.05297519439483667,0.12046838,1.0,0.00010780259635695241,0.001167875,0.0,0.04327043929448286,0.10367966,1.0,0.1284637696109713,0.4544015,1.0
60,0.17664099549282664,0.2017578,1.0,0.6568973600094331,0.65809584,1.0,0.48342444734490786,0.55652344,1.0,0.7726101127083342,0.7356544,1.0,16.131993860181012,28.750622,1.0,0.0391326744368809,0.086058624,1.0,0.00019484050394996785,0.0008555573,1.0,1.1820212590608423,0.99650353,1.0,0.011167381062471235,0.05482149,0.0
61,0.23706528516977143,0.5752088,1.0,0.8556789917997745,0.8370126,1.0,0.45487951649057046,0.3561325,1.0,0.5946536765857799,0.598417,1.0,94.23188748773356,60.547935,0.0,0.6418103748841083,1.3165201,0.0,0.0007884839850840593,0.0027117115,0.0,0.027286048538162452,0.11089452,0.0,0.04348642013156685,0.086439796,1.0
62,0.8493385175455485,0.6194695,1.0,0.51511318900607,0.6050627,1.0,0.2871324902483936,0.52955127,1.0,0.762002610787813,0.71806216,1.0,14.595699762508746,25.35967,1.0,0.013820603694399193,0.08067508,1.0,0.002347653033530687,0.00477246,1.0,0.028948052990711914,0.11360815,1.0,0.05539476605609901,1400.1295,1.0
63,0.3813472677137151,0.4745086,1.0,0.8959183328769256,0.8681553,1.0,0.2672245283050755,0.5030913,1.0,0.5304319486821696,0.7576055,1.0,13.770420851150096,34.096478,1.0,0.027529050262483666,0.06114984,1.0,0.0006946768467391409,0.0054326984,1.0,0.15530302055986409,0.14832184,1.0,0.03305207575012553,0.37977368,1.0
