case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
58,0.9167359676350912,0.90064216,1.0,0.8588105307803302,0.8281166,1.0,0.7626930189953163,0.7571248,1.0,11,10.00139,0.0,0.01440658572537004,0.05122551,1.0,0.13433449110096174,0.20676064,1.0,0.0007616596818306506,0.0005440942,1.0
59,0.262405156041173,0.57023937,1.0,0.5272602906905284,0.6051598,0.0,0.6103048163794291,0.8749932,0.0,13,9.248777,0.0,0.24481914096582044,0.9920362,1.0,3.208001703989793,8.368671,0.0,0.0013399667401127232,0.0019330061,1.0
60,0.8463998185338036,0.7141257,1.0,0.5922714352667844,0.56810176,1.0,0.7395474105048785,0.6995216,1.0,15,12.620566,0.0,0.08409293714448461,0.11433577,1.0,0.26916776384427255,0.3152983,1.0,0.0003941714826979909,0.00055964437,1.0
61,0.06384954712761326,0.17702033,1.0,0.7210817878046742,0.75769484,1.0,0.7233482650181295,0.77061206,1.0,6,5.427944,1.0,0.0913575813703493,0.2934027,1.0,1.9337855549679759,2.5066583,1.0,0.013839104494481806,0.016140983,1.0
62,0.8188437383255202,0.82994425,1.0,0.6516910102907424,0.6823537,1.0,0.7171415950624024,0.8021556,1.0,6,4.876101,0.0,1.9034297824031379,2277678.5,1.0,1.999467378615716,2.5073888,1.0,0.006697822317904896,0.007251342,1.0
63,0.2837057055728065,0.16386504,1.0,0.6097331407946162,0.5895117,1.0,0.6336152492023637,0.6207085,1.0,7,7.4106493,1.0,0.01853695761548375,0.059302125,1.0,0.23898548065204492,0.17614228,1.0,0.009445497974261191,0.008182146,1.0
64,0.33528604903050807,0.53350604,1.0,0.7600142840363941,0.80778944,1.0,0.8053564517180545,0.71816444,1.0,13,13.27568,1.0,0.0160891898838403,1.0233105,1.0,0.010098223692703297,0.090818055,0.0,0.0012687375506691629,0.0020369815,1.0
65,0.554116118001183,0.3389976,1.0,0.8296814268241531,0.87588465,1.0,0.9559975831649551,0.8750077,1.0,11,9.62241,0.0,0.026446513080537287,0.4114373,0.0,4.037898492257429,5.291716,0.0,0.00042699563774518923,0.0022655074,1.0
66,0.9125144770759718,0.6510418,1.0,0.8446980674055233,0.7168666,1.0,0.9615800878395242,0.8672024,1.0,16,14.858479,0.0,0.013625931390295594,0.026649581,1.0,0.02294259419474342,0.037743796,1.0,0.00046174643613009647,0.0006284503,1.0
67,0.32574359731439095,0.39801952,1.0,0.6846933008044294,0.7539011,1.0,0.9244365949725859,0.9152352,1.0,10,8.787702,0.0,0.2061269865710806,1.0556086,1.0,3.050888663178986,4.262592,0.0,0.00016385453129175715,0.0015418517,0.0
