case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
40,0.867622668189588,0.7966899,1.0,0.6382504553440078,0.66882604,1.0,11,10.363218,1.0,15.112631793592683,16.827133,1.0,31.278468808162376,14.281632,1.0
41,0.6967405524034118,0.73327893,1.0,0.6405517772989984,0.6602388,1.0,5,4.957827,1.0,1.2977825383192965,2.3303893,1.0,8.079483606267743,7.094977,1.0
42,0.9833579368902519,0.88920933,1.0,0.9007642819139479,0.85656404,1.0,13,13.244295,1.0,2.343769542376292,1.9872935,1.0,2.6389846043885727,2.2268004,1.0
43,0.5175208867908321,0.5980621,1.0,0.8115401567350955,0.78415346,1.0,14,9.99724,1.0,32.823925034687555,24.140402,1.0,17.19892777847232,17.002512,1.0
44,0.8894595096299072,0.96373385,0.0,0.5868016154633355,0.6000833,1.0,5,7.199752,0.0,1.9499945797914733,1.8654804,1.0,13.075103875084908,12.422395,1.0
45,0.7300230753694446,0.8428434,0.0,0.5894845209040527,0.7814109,0.0,10,10.219164,1.0,2.9513237886986046,3.8018916,1.0,26.110922556662118,20.452244,1.0
46,0.8953365877429705,0.9293455,1.0,0.8757256556255062,0.9006226,1.0,13,14.2729845,1.0,1.8802149203695273,1.6027215,1.0,3.1680721170704307,2.2398999,1.0
47,0.8642171772390559,0.829454,1.0,0.7931370341857762,0.7115843,0.0,13,13.516224,1.0,27.17887863977113,37.512413,0.0,21.894625689439124,8.715818,1.0
48,0.6256695750075143,0.6237728,1.0,0.6833445953647326,0.8169411,1.0,4,4.614009,1.0,1.5032803787285929,1.6577951,1.0,2.4556956321729233,2.7286582,1.0
49,0.7780464828648757,0.84932446,1.0,0.7522404068711912,0.7767589,1.0,16,15.451875,1.0,3.6079844805969525,4.5906453,0.0,2.655306997033186,1.8524355,1.0
50,0.7729474313505921,0.8202243,1.0,0.6701126672219002,0.709645,1.0,5,6.250082,0.0,34.627725714337714,28.824894,0.0,1.3505538284320602,1.8190522,1.0
51,0.9273965571643921,0.9545972,1.0,0.8185554489487963,0.86157554,1.0,8,8.711993,1.0,1.7482442341227582,1.6138517,1.0,15.571963358901423,16.627449,1.0
52,0.7501166906926207,0.7465843,1.0,0.5898334777076399,0.72151196,1.0,6,5.297369,1.0,19.969948510710758,16.64395,1.0,15.371074276545897,10.838053,1.0
53,0.6915096826072573,0.76779836,1.0,0.530255521669325,0.781626,0.0,10,7.9345117,0.0,45.760723682567175,36.53843,1.0,1.2632432767662813,12.73632,1.0
54,0.7997858711358978,0.8346491,1.0,0.8436232406527084,0.71655184,0.0,12,12.332523,1.0,24.350926340521248,35.710228,0.0,1.3197686585128823,8.521074,1.0
55,0.6927431694451704,0.8092318,1.0,0.6425568864317618,0.7993396,1.0,5,4.9021893,1.0,4.926726346819357,6.3917675,0.0,37.259757625064566,26.23511,1.0
56,0.6079920670449184,0.6155896,1.0,0.9693679224659694,0.8302831,0.0,10,9.0046,1.0,9.568951679880659,11.165847,1.0,1.030741126324062,2.4880457,0.0
57,0.6218197292984322,0.59457594,1.0,0.958277363419893,0.7832186,1.0,12,9.751846,1.0,48.25262612601062,24.100458,0.0,13.198987427802086,17.039343,1.0
58,0.9807218534941806,0.9530811,1.0,0.7952552581323611,0.7971184,1.0,12,12.010394,1.0,2.0401335261446714,2.1508944,1.0,11.826473782492183,14.192567,0.0
59,0.54987409854186,0.5419393,1.0,0.6498864651149654,0.6776555,1.0,10,11.786022,1.0,2.8081730030767447,2.7229896,1.0,1.0794314199184303,1.7286532,0.0
60,0.8710729990305902,0.78191066,1.0,0.8965271888608614,0.78231215,0.0,14,12.243971,0.0,33.421252206984406,37.03284,1.0,23.35189511123112,12.997191,1.0
61,0.7595855578661774,0.8300162,1.0,0.9854453872836928,0.8614502,0.0,9,8.273194,1.0,12.548749613618636,14.073693,1.0,5.413353799056437,13.374323,1.0
62,0.832853910933129,0.83614486,1.0,0.9200713193733286,0.892089,1.0,5,5.0500565,1.0,5.711582021844835,5.7362127,1.0,1.053825285326014,2.1470985,0.0
63,0.9899253734493856,0.78953457,0.0,0.884803961578053,0.7669177,0.0,14,13.319341,1.0,29.49684741528005,37.88527,1.0,36.16443128472829,12.726097,1.0
64,0.5070577484769166,0.6127899,1.0,0.865029875074552,0.78273433,1.0,7,9.908909,1.0,1.5627232628052443,25.159433,0.0,10.51526399097596,15.822018,1.0
65,0.877365181992787,0.9344876,1.0,0.5446682738340922,0.5680896,1.0,12,12.538784,1.0,1.4337039505823925,1.7504194,1.0,12.363103370685407,12.151834,1.0
66,0.601507320147894,0.5679362,0.0,0.6206247277939367,0.75800925,1.0,4,4.244239,1.0,4.924884294486186,5.6152825,1.0,5.571056857982737,3.5983315,1.0
67,0.931244087950658,0.93244267,1.0,0.7759053899919438,0.8302379,1.0,11,10.754051,1.0,2.4112088737576207,2.7967808,1.0,16.584551836501845,19.821377,1.0
68,0.6870906392610097,0.81013334,0.0,0.7958275309937348,0.7685218,1.0,6,5.7301607,1.0,10.18049342960099,11.081622,1.0,4.207379965981768,5.5942187,1.0
69,0.8151069154844803,0.9140461,1.0,0.8780352173315662,0.74511755,1.0,15,14.395145,1.0,5.619335497283791,6.706173,0.0,31.12601889294725,28.598722,1.0
70,0.9470795338022264,0.93099827,1.0,0.544930434462662,0.5771455,1.0,16,15.124225,1.0,1.3691966579175516,1.7821821,1.0,10.082116041104538,6.409567,0.0
71,0.9648853095283385,0.6089657,0.0,0.893047934013411,0.7842851,1.0,5,9.959156,0.0,39.78972379025225,25.472803,1.0,24.156759127146152,16.381952,1.0
72,0.957935887888292,0.90087664,1.0,0.6497948193418542,0.74220496,1.0,10,7.087948,0.0,2.078182147755661,2.6818907,1.0,36.152659370576046,38.58,1.0
73,0.6754678934974057,0.7809607,1.0,0.7786392710345968,0.7669741,1.0,12,11.179169,1.0,9.233890853256645,11.9640255,0.0,17.51656410221241,9.67117,1.0
74,0.6067217088118371,0.7260391,1.0,0.8081533031092727,0.76803285,1.0,4,4.7300687,1.0,39.51458268794755,35.25584,1.0,4.0116684372333,9.956888,1.0
75,0.6983202926133665,0.8136333,1.0,0.6543095604072975,0.7162637,1.0,5,5.8100777,1.0,36.29579125475613,33.774567,1.0,46.66656175019734,3.664407,0.0
76,0.9573717198391278,0.91212016,1.0,0.6989371104237713,0.80369323,1.0,9,8.207257,1.0,3.177891776877301,3.540103,1.0,20.04855227109297,24.316343,1.0
77,0.8089243051782986,0.87119365,1.0,0.8185032481276497,0.8942272,1.0,12,13.590255,0.0,2.5331435206735238,2.3834476,1.0,1.0176963283614595,1.869501,0.0
78,0.6264613243560633,0.7448732,1.0,0.9646345516201826,0.88030654,0.0,15,14.85709,1.0,11.57525309880892,14.368297,1.0,27.48551991698057,24.332676,1.0
79,0.7842373230586221,0.872317,1.0,0.5352990350949558,0.5389069,1.0,6,6.2877307,1.0,8.704938799608257,9.427965,1.0,1.6117108929264117,1.6125873,1.0
80,0.575773308765819,0.7595134,0.0,0.6042194469937163,0.73584867,1.0,8,6.4559727,0.0,33.722477671582894,38.12778,1.0,22.213757674657156,9.06823,1.0
81,0.7500128376553021,0.87476176,1.0,0.5565562710344634,0.56801295,1.0,8,6.4795957,0.0,7.4960018490350855,9.62562,0.0,7.4043690589572275,3.4938545,0.0
82,0.7411332666302854,0.83292985,1.0,0.5473424484352516,0.77768236,0.0,14,13.978325,1.0,28.293509071082752,21.97393,1.0,2.789964869348068,19.58278,1.0
83,0.8600624286272436,0.8230903,1.0,0.7241448151057723,0.7914674,1.0,9,8.327152,1.0,17.70803576753545,19.965612,1.0,38.45672378903025,16.344187,1.0
84,0.5580512091508518,0.56568533,1.0,0.950709578667428,0.8405928,1.0,4,4.801588,1.0,2.4927541300264706,2.1832294,1.0,2.3152371457898537,2.3555717,1.0
85,0.8488844405928416,0.85683906,1.0,0.6597584773094107,0.70540917,0.0,13,13.049006,1.0,22.08095308479877,21.303543,1.0,1.8418043166712628,1.921005,1.0
86,0.6596818904785313,0.7781926,1.0,0.5111366489595355,0.82777613,0.0,10,8.455117,0.0,15.385182193275082,16.350084,1.0,20.913462432876756,16.224886,1.0
87,0.7599600174636802,0.7464813,1.0,0.8397775788715126,0.79349,1.0,13,11.579586,1.0,34.68839673102942,36.229946,1.0,11.854942106107705,12.513404,1.0
88,0.9632046655754671,0.833887,1.0,0.6221837107072369,0.7057224,0.0,14,14.330654,1.0,38.289433211934565,36.251484,1.0,17.48465098540482,6.660172,1.0
89,0.8177369511890047,0.7903394,1.0,0.5363753108980203,0.7489624,0.0,9,7.762331,0.0,25.54338636514125,29.093266,1.0,18.531488798832036,15.001162,1.0
