case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
72,0.9595115902779432,0.86381894,1.0,0.755853218033858,0.73464185,1.0,11,10.640209,1.0,14.184628830792526,14.642746,1.0,19.00922564100588,13.471896,1.0,0.015096055973789099,0.016656864,1.0
73,0.7902643746138482,0.8347907,1.0,0.6352388977654366,0.6618544,1.0,5,4.6787744,1.0,36.45090765537227,28.230951,1.0,3.357917489440079,2.4481258,1.0,0.014981536327021474,0.019842122,1.0
74,0.8677122199529309,0.90393174,1.0,0.9537208580735265,0.91245335,1.0,15,14.734851,1.0,4.391909047951447,3.5235183,1.0,12.196099464570594,11.703346,1.0,0.041949534273078695,0.028398627,1.0
75,0.8966189464659919,0.9174521,1.0,0.7197951209686451,0.7272307,1.0,12,12.347987,1.0,2.8507356044136816,3.6234608,1.0,3.5931389356266275,10.00667,1.0,0.03202257117913457,0.036136247,1.0
76,0.82910018820528,0.8243963,1.0,0.5099398761002891,0.58895344,1.0,9,9.449973,1.0,1.7371538582889994,2.7059846,1.0,1.7740319868673247,12.1290455,1.0,0.05893332426799541,0.09066752,0.0
77,0.8164938703484119,0.80920094,1.0,0.7992382382189456,0.79429966,1.0,6,5.6979365,1.0,1.8853410351403055,2.9287827,1.0,39.7117073170502,14.071828,0.0,0.02212973659045363,0.035495095,1.0
78,0.626831533521977,0.60136217,0.0,0.8876117583119658,0.82783717,1.0,5,4.742416,1.0,2.9827015684646097,3.8829927,1.0,32.05456557945983,12.683605,1.0,0.06691726668328123,0.07265352,1.0
79,0.5252831488271621,0.54348916,1.0,0.9161991455400912,0.93109107,1.0,14,13.429516,1.0,26.61416164010821,38.144405,0.0,10.529264184343123,20.320242,1.0,0.020133568331927382,0.047690105,1.0
80,0.9511909648944847,0.92724794,0.0,0.8486547523624646,0.6053723,0.0,7,7.0789847,1.0,9.056834947724358,15.326688,1.0,30.511126229654476,11.913652,1.0,0.20296934879004178,0.1951835,1.0
81,0.9772167849651769,0.9677685,1.0,0.5259170834903493,0.5310973,1.0,7,7.8311396,1.0,47.42729732072581,32.293415,1.0,43.89127943081073,16.998688,0.0,0.11295940750894186,0.06972121,1.0
82,0.925827415274656,0.91285205,1.0,0.8292431540184109,0.8361412,1.0,14,14.070441,1.0,2.0452769926227403,2.9595065,1.0,37.9485978916734,12.215494,1.0,0.0321499469627679,0.044838578,1.0
83,0.7124606259943749,0.7145667,1.0,0.5128570994339228,0.5897863,0.0,13,11.052854,0.0,2.553039864270853,3.8415372,1.0,2.4459484970095002,20.554735,0.0,0.016785091080561292,0.01897802,1.0
84,0.9332520152795445,0.8900873,1.0,0.5996400356976122,0.5944815,1.0,11,7.979908,0.0,13.971592544331598,12.626349,1.0,9.711586614913607,12.994505,1.0,0.05269837670899337,0.028603379,0.0
85,0.7358596005448637,0.6717363,0.0,0.9866763738858928,0.92471814,0.0,12,10.960663,1.0,11.29424327203255,11.246683,1.0,46.125413512915685,9.857305,0.0,0.017920786506931633,0.01787302,1.0
86,0.9356684040335355,0.9371312,1.0,0.9859088087279334,0.89618886,1.0,7,6.6660185,1.0,1.249914940202348,1.2936081,1.0,37.363668472249856,11.175984,1.0,0.037144676189940336,0.03548542,1.0
87,0.8815863437485268,0.8510823,1.0,0.8751455028985435,0.72636616,1.0,6,5.9004707,1.0,10.119667052378684,6.463499,1.0,1.468021772627239,9.767346,1.0,0.2899731988920485,0.35870716,1.0
88,0.7553289938864911,0.7699446,1.0,0.859625697869806,0.6758509,1.0,15,14.764504,1.0,5.558479617009791,4.8532267,1.0,12.46838931270708,11.644721,1.0,0.2657805243386052,0.3130149,1.0
89,0.7131128049611438,0.69879323,1.0,0.8624467666301098,0.7142884,1.0,13,12.904551,1.0,1.1081728307072867,9.777078,0.0,14.067261926924637,11.829181,1.0,0.46961779785701385,0.39532068,1.0
90,0.5305901094945797,0.5688823,1.0,0.5285592834008147,0.7311606,0.0,4,4.3433166,1.0,8.208028580575718,11.475038,1.0,2.258663186186672,9.764318,1.0,0.3258697885377482,0.3918701,1.0
91,0.5579506552747561,0.5566537,1.0,0.8769013923286202,0.8546836,1.0,7,6.616957,1.0,7.331413584949796,9.513048,1.0,11.501028932509309,6.949001,1.0,0.04528965288155007,0.065794475,1.0
92,0.6163214422847626,0.6967966,0.0,0.8186373813084347,0.70071983,1.0,13,12.958014,1.0,5.447343415686287,21.26398,1.0,1.5939274597248163,13.466739,1.0,0.3009356490502996,0.42190906,0.0
93,0.9010532120524446,0.85808444,1.0,0.990332170407535,0.9461799,1.0,5,4.8676105,1.0,7.211044561783747,7.6510134,1.0,3.70159690908033,4.7862167,1.0,0.02255913186146362,0.030964993,1.0
94,0.8541934720961665,0.86851555,1.0,0.6951334539690979,0.6827903,1.0,9,8.594133,1.0,5.886284663423712,3.9244287,1.0,30.53375282366496,20.55554,1.0,0.0584263137595157,0.03279644,1.0
95,0.9935367455317795,0.98771626,1.0,0.6074707912771642,0.70167786,1.0,10,9.56318,1.0,6.049167400458837,7.3428974,1.0,1.1408564358223443,12.095221,0.0,0.49827841410933493,0.37060848,0.0
96,0.8105638830466673,0.811281,1.0,0.8338982311463039,0.8142332,1.0,5,5.0271025,1.0,3.2899856722730507,4.2039123,1.0,12.440237672067688,12.57303,1.0,0.033762543170331366,0.043420732,1.0
97,0.6303105611746986,0.82858205,0.0,0.5838942857898862,0.58260953,1.0,13,12.310338,1.0,26.057544222773434,35.39696,1.0,1.1868447031219513,1.7659153,1.0,0.010808083662427926,0.021231491,1.0
98,0.7077889832980049,0.7486082,1.0,0.8779384639380576,0.69926316,1.0,15,14.811657,1.0,2.8869929801805108,17.777508,0.0,3.344397557227641,12.391506,1.0,0.4703741022537777,0.41669714,1.0
99,0.5946152059777365,0.61422485,1.0,0.8707038279848942,0.74601716,1.0,7,7.076681,1.0,4.485228183257726,12.86966,1.0,27.94189525434792,10.754965,1.0,0.19700434676962414,0.31721836,1.0
100,0.6776762587966868,0.69812155,1.0,0.6773713063610507,0.6516449,1.0,14,11.377594,0.0,32.67785465119467,33.44664,1.0,23.590221595539163,21.055027,1.0,0.14302660728052763,0.10289956,1.0
101,0.9584833929217715,0.8785072,1.0,0.6007435954429533,0.5899897,1.0,10,6.3588476,0.0,20.020157202857362,34.926205,0.0,34.5762428282211,30.49633,1.0,0.06398999740898893,0.08576491,1.0
102,0.9895013129095922,0.89878154,0.0,0.691741690167315,0.7040133,1.0,5,5.1541023,1.0,26.27369539462116,23.853872,1.0,33.234180531299806,4.5408115,0.0,0.21390429074947723,0.19809316,1.0
103,0.7062330333300922,0.68390375,1.0,0.6580789390322492,0.7477515,1.0,7,7.0603886,1.0,19.421990777166194,13.338545,1.0,48.59144328512044,10.490497,0.0,0.27654103836052946,0.32313302,1.0
104,0.5638624698491533,0.56533915,1.0,0.6491988290176246,0.71558857,1.0,13,12.996895,1.0,2.8798478014684834,3.27647,1.0,12.785140805771729,10.912318,1.0,0.147888299640284,0.15214291,1.0
105,0.6233291285331419,0.61821926,1.0,0.928882318384032,0.85939807,1.0,8,8.050486,1.0,1.1897704910211022,2.080118,1.0,30.568867833921125,10.540273,1.0,0.11268074436082266,0.12162427,1.0
106,0.88104646269313,0.85119396,1.0,0.8548776622428627,0.8754663,1.0,6,4.881978,1.0,27.85426077942923,29.1336,1.0,15.81815851001557,18.317118,1.0,0.025680270997900618,0.05372193,1.0
107,0.6102160007007911,0.58544654,1.0,0.7903901213101305,0.61777455,1.0,9,8.934572,1.0,1.6452275787813084,3.4235067,1.0,27.34049649096959,10.869228,1.0,0.12435535743024391,0.10576552,1.0
