case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
91,0.5579506552747561,0.55591416,1.0,0.8769013923286202,0.85473174,1.0,7,6.6591873,1.0,55.83182433757911,56.626923,1.0,11.501028932509309,10.688592,1.0,0.04528965288155007,0.033416595,1.0
92,0.6163214422847626,0.6901357,0.0,0.8186373813084347,0.7080784,1.0,13,12.991408,1.0,48.998115213978345,48.10604,1.0,1.5939274597248163,12.5849905,0.0,0.3009356490502996,0.38014105,1.0
93,0.9010532120524446,0.93629795,1.0,0.990332170407535,0.97329664,1.0,5,4.4478183,0.0,55.45097085018972,51.27225,1.0,3.70159690908033,3.9920347,1.0,0.02255913186146362,0.0220417,1.0
94,0.8541934720961665,0.79497474,1.0,0.6951334539690979,0.7230138,1.0,9,8.534234,1.0,50.781010440925044,56.518116,1.0,30.53375282366496,25.605024,1.0,0.0584263137595157,0.048658397,1.0
95,0.9935367455317795,0.9972414,1.0,0.6074707912771642,0.7010441,1.0,10,10.067142,1.0,51.40897372751468,58.608704,1.0,1.1408564358223443,5.733619,0.0,0.49827841410933493,0.27621874,0.0
96,0.8105638830466673,0.870103,1.0,0.8338982311463039,0.84805477,1.0,5,4.818372,1.0,37.397458741036566,54.195602,1.0,12.440237672067688,9.747972,1.0,0.033762543170331366,0.032551117,1.0
97,0.6303105611746986,0.6321898,1.0,0.5838942857898862,0.73579043,0.0,13,12.545406,1.0,85.00662942180618,80.30767,1.0,1.1868447031219513,1.3996817,1.0,0.010808083662427926,0.011442421,1.0
98,0.7077889832980049,0.7446536,1.0,0.8779384639380576,0.71415144,1.0,15,14.944945,1.0,34.39131674101704,47.184906,1.0,3.344397557227641,14.473513,1.0,0.4703741022537777,0.40488538,1.0
99,0.5946152059777365,0.59524137,1.0,0.8707038279848942,0.8385241,1.0,7,6.2464423,1.0,44.52715978927564,60.91618,1.0,27.94189525434792,19.550844,1.0,0.19700434676962414,0.119453885,1.0
100,0.6776762587966868,0.70814174,0.0,0.6773713063610507,0.6739586,1.0,14,14.459297,1.0,90.21496433598718,76.85116,1.0,23.590221595539163,29.489931,1.0,0.14302660728052763,0.17785539,1.0
101,0.9584833929217715,0.9118849,1.0,0.6007435954429533,0.6026366,1.0,10,9.282575,0.0,78.94299087172583,69.8872,1.0,34.5762428282211,25.537554,1.0,0.06398999740898893,0.041040186,1.0
102,0.9895013129095922,0.9098679,1.0,0.691741690167315,0.7088772,0.0,5,4.9237146,1.0,85.19668041642524,67.40982,1.0,33.234180531299806,36.442585,1.0,0.21390429074947723,0.23892465,1.0
103,0.7062330333300922,0.7043501,1.0,0.6580789390322492,0.66142726,1.0,7,6.3663883,1.0,78.24513477225545,78.50207,1.0,48.59144328512044,44.92111,1.0,0.27654103836052946,0.25186026,1.0
104,0.5638624698491533,0.53929,1.0,0.6491988290176246,0.64982665,1.0,13,13.0163765,1.0,34.33430734211622,59.526016,1.0,12.785140805771729,25.269833,1.0,0.147888299640284,0.2684675,1.0
105,0.6233291285331419,0.6049472,1.0,0.928882318384032,0.935305,1.0,8,7.372212,1.0,13.997532254643206,34.871304,1.0,30.568867833921125,15.122142,1.0,0.11268074436082266,0.055651207,1.0
106,0.88104646269313,0.8031456,1.0,0.8548776622428627,0.7795407,1.0,6,5.5644045,1.0,86.54063757564383,79.56104,1.0,15.81815851001557,24.176363,1.0,0.025680270997900618,0.03264959,1.0
107,0.6102160007007911,0.6058458,1.0,0.7903901213101305,0.80403477,1.0,9,8.152664,0.0,21.454197681076764,45.21461,1.0,27.34049649096959,17.178085,1.0,0.12435535743024391,0.081039645,1.0
108,0.6275037434897577,0.62907255,1.0,0.7981218156084453,0.7902148,1.0,13,12.399433,1.0,96.7905138021531,66.13167,1.0,6.33928626381671,7.2142277,1.0,0.058089685487812,0.058408707,1.0
109,0.7712197273999057,0.7885182,1.0,0.9209248705044318,0.8207204,0.0,11,12.188092,1.0,96.74404875471612,57.086277,0.0,14.259843139514986,16.785555,1.0,0.1518412026666104,0.1494296,1.0
110,0.6818202120931611,0.6818398,1.0,0.6525810615036287,0.5824587,0.0,7,7.176703,1.0,92.47005870378767,62.84615,1.0,1.3024751533501446,1.4160328,1.0,0.03394952723623189,0.03254629,1.0
111,0.9236113083905473,0.92508763,1.0,0.5620299347400024,0.6429688,1.0,8,8.092814,1.0,34.2596602780025,30.762598,1.0,1.897516982032087,1.964453,1.0,0.143706645468353,0.153755,1.0
112,0.8133757419028715,0.78469443,1.0,0.7342475705780365,0.7320033,1.0,7,7.0038514,1.0,35.255411916967105,61.87532,1.0,1.8397305278140808,4.8651743,1.0,0.38965495468101685,0.3464881,1.0
113,0.6634746236060819,0.6748688,1.0,0.8167252210032568,0.6967087,1.0,9,8.983301,1.0,22.948695940457025,63.371624,0.0,3.337325847408336,12.403791,1.0,0.44123348558680386,0.40092167,1.0
114,0.7847812667850754,0.7651795,1.0,0.9971713628541078,0.74048513,0.0,10,10.038109,1.0,50.30256114584352,63.026367,1.0,3.860302255407081,4.712808,1.0,0.36172097425167116,0.34317914,1.0
