case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
59,0.6312025780205865,0.63199145,1.0,0.5272602906905284,0.55550367,1.0,7,6.647332,1.0,22.06941910327603,26.402079,1.0,6.116958601452949,6.904788,1.0,26.262685376467264,30.718805,1.0,0.051226240363438424,0.07601969,1.0
60,0.9231999092669019,0.9064789,1.0,0.5922714352667844,0.58324516,1.0,10,9.25875,1.0,31.32191249442059,33.065563,1.0,3.3397418298183794,7.082238,1.0,6.454393223033316,12.67677,1.0,0.02371247339784588,0.023337381,1.0
61,0.5319247735638066,0.54928917,1.0,0.7210817878046742,0.71257967,1.0,9,9.104564,1.0,1.8173141264906996,4.60757,1.0,3.5001937259864904,4.7496743,1.0,19.71725167093835,11.074563,1.0,0.2227421460900592,0.2564942,1.0
62,0.90942186916276,0.8958475,1.0,0.6516910102907424,0.6006684,1.0,9,8.91131,1.0,1.6671591405498294,3.9967213,1.0,19.54136588979353,15.537943,1.0,20.093772108287244,16.094994,1.0,0.14105998320528124,0.14132911,1.0
63,0.6418528527864032,0.6736801,1.0,0.6097331407946162,0.7331546,1.0,7,7.251927,1.0,2.591665389396886,5.661621,1.0,1.4183925215070157,3.4330263,1.0,6.0339812155296,11.551584,1.0,0.17513821246730601,0.27690747,1.0
64,0.667643024515254,0.64491564,0.0,0.7600142840363941,0.7616976,1.0,11,9.469125,0.0,17.37687959703557,17.448544,1.0,1.3090767934149101,7.617317,0.0,1.0055508445316284,5.4315753,0.0,0.04949480530914929,0.06294031,1.0
65,0.7770580590005916,0.85896105,1.0,0.8296814268241531,0.8198765,1.0,15,14.3438015,1.0,9.819870851063252,19.76082,1.0,1.7345910120414774,5.9873295,1.0,29.917590638850843,25.191301,1.0,0.0249369979814537,0.102589004,1.0
66,0.9562572385379859,0.6879851,1.0,0.8446980674055233,0.7989792,1.0,15,14.279008,1.0,47.72576007675391,33.70064,1.0,1.1915018287222452,19.945742,0.0,1.600443240442269,3.220723,1.0,0.026195956092136322,0.041286614,1.0
67,0.6628717986571955,0.6614469,1.0,0.6846933008044294,0.6356904,1.0,14,12.522287,0.0,6.9504508153752145,9.896657,1.0,5.549134265157943,19.176155,0.0,25.526344181958777,29.35655,1.0,0.013645802650043405,0.026833035,1.0
68,0.5598281110882475,0.5546477,1.0,0.8056287421762606,0.85715663,1.0,8,6.3783574,0.0,3.147890657749999,6.269891,1.0,2.4337781709062627,2.813299,1.0,1.8854622183083554,11.811813,1.0,0.019008556771828215,0.038447425,1.0
69,0.5920886116116593,0.5897471,1.0,0.6301068672618197,0.57213014,1.0,14,13.70981,1.0,1.1948864842007971,2.3219643,1.0,9.711626617857146,9.020438,1.0,16.079705675662503,23.344885,1.0,0.041639319645169565,0.041431572,1.0
70,0.9021856005924729,0.87294906,1.0,0.5637051510562601,0.73923254,1.0,13,13.235825,1.0,1.8721145995057447,3.057319,1.0,3.977539675816974,3.4788122,1.0,1.0084155361494072,12.198192,0.0,0.312916404158479,0.28496668,1.0
71,0.546203858974142,0.5497197,1.0,0.6093501751457933,0.60324603,1.0,13,12.860149,1.0,19.26151363889389,28.320059,1.0,1.0389681734384328,3.911791,0.0,7.2539987714291225,13.360295,1.0,0.0484539959865716,0.097014695,1.0
72,0.5565922919683943,0.569496,1.0,0.755225678296759,0.7837154,1.0,16,15.802674,1.0,2.40574231678246,3.1969972,1.0,8.904557786952322,10.471696,1.0,14.906237948192919,12.369311,1.0,0.19310748202873634,0.20118247,1.0
73,0.9352358832440513,0.94712514,1.0,0.6049457285535396,0.6332169,1.0,11,10.78956,1.0,4.294967629951558,6.257667,1.0,39.34229864255985,37.006775,1.0,6.4684938796328755,19.650414,1.0,0.014714338335827732,0.024617782,1.0
74,0.7173511186888897,0.8654175,1.0,0.9343881316596327,0.9237237,1.0,10,10.291966,1.0,19.856510343728736,20.799358,1.0,2.798089759261886,13.0562935,1.0,5.666406224240637,11.86893,1.0,0.03373358317577134,0.04956728,1.0
75,0.5106201886714645,0.5134347,1.0,0.8159159879444087,0.8158078,1.0,9,9.105363,1.0,39.008209272969694,37.402866,1.0,4.7224478683361815,4.166585,1.0,20.540861508724575,21.715504,1.0,0.14886782557075226,0.13460442,1.0
76,0.6303274549706257,0.6280509,1.0,0.8203618858841933,0.8403307,1.0,15,14.660102,1.0,21.89273979318432,30.91894,1.0,13.754491980901559,9.23094,1.0,11.602017742315866,12.522089,1.0,0.040010290176274006,0.10203057,1.0
77,0.8823996078862699,0.85752255,1.0,0.7837573130639907,0.85222864,1.0,11,10.879439,1.0,6.662575163855539,4.8582735,1.0,4.063034552495892,5.9172363,1.0,1.0443629460381683,10.853104,0.0,0.08104631060144744,0.06750481,1.0
78,0.6149092086114116,0.6177842,1.0,0.7075156548964294,0.71252024,1.0,15,13.638676,0.0,10.792895552103543,11.976488,1.0,5.04823319614169,5.309005,1.0,2.6688665324061653,12.487701,1.0,0.0680756218806001,0.06989321,1.0
79,0.6133559122218576,0.6034886,1.0,0.7205334217821504,0.72476524,1.0,7,6.8094597,1.0,10.059076003357978,4.1735973,1.0,24.478325196430134,11.935134,1.0,7.7311966887710195,12.061838,1.0,0.31504982189646386,0.13782324,1.0
80,0.99186284195018,0.91817796,0.0,0.9679376016872998,0.9488455,1.0,11,10.57935,1.0,3.370157454934783,9.790743,0.0,2.438778625187454,2.809548,1.0,12.64733189001411,12.848493,1.0,0.013197028452853228,0.08313491,0.0
81,0.9343873677262002,0.6512711,1.0,0.9604617978198776,0.8134754,1.0,9,9.347049,1.0,38.5609739503821,31.986023,1.0,10.58862575580443,17.800611,1.0,2.6258030109568398,3.603249,1.0,0.024295426867442828,0.05040543,1.0
82,0.6659649156819429,0.67468894,1.0,0.7957393049298662,0.74716026,0.0,8,8.272072,1.0,1.8956990404294134,2.554478,1.0,39.20335145490464,33.454697,1.0,2.1005573696563578,2.0510983,1.0,0.22469948971406878,0.21111147,1.0
83,0.514945799231377,0.51524526,1.0,0.5053672490769656,0.61999536,0.0,9,8.291383,1.0,34.87544814758324,35.343945,1.0,14.686949256655028,15.21789,1.0,9.073046805804587,8.068114,1.0,0.010975935797567272,0.023401976,0.0
84,0.7804152650468827,0.7657889,1.0,0.5434509539775043,0.5882083,1.0,9,8.139212,1.0,5.571783253014013,6.076624,1.0,6.02591148543523,4.455759,1.0,3.9643233221735987,23.828259,1.0,0.013412523889958918,0.019280586,1.0
85,0.900142975764421,0.9084831,1.0,0.7898206260845251,0.90458065,1.0,9,8.60318,1.0,9.270413132232731,10.333422,1.0,8.744425371123452,7.3432894,1.0,1.1216612350623199,10.903802,0.0,0.025999498053636907,0.034554396,1.0
86,0.8021593829642246,0.87395215,1.0,0.7788992409904874,0.76736695,1.0,10,10.574696,1.0,14.144139489884576,22.022577,0.0,32.70754811970093,13.229789,1.0,34.328220419184014,18.219753,1.0,0.014351272817805199,0.04560026,1.0
87,0.7150362091312245,0.6844797,0.0,0.6282092614131177,0.63198805,1.0,13,10.337026,0.0,6.903580943768524,2.663477,0.0,31.751355511614175,33.0661,1.0,2.826347890543324,6.5066233,1.0,0.06267066726872161,0.033656064,1.0
88,0.6732028895039615,0.6705576,1.0,0.9497150880831271,0.9445835,1.0,5,5.4672375,1.0,43.731004892654056,45.325794,1.0,20.0040916255992,5.963136,1.0,15.535420813009992,19.224531,1.0,0.1382985831653035,0.17166977,1.0
89,0.6716628430191867,0.6637126,1.0,0.5405323132041704,0.586597,1.0,15,14.002514,1.0,3.2495646498378274,3.9045079,1.0,12.385303146651196,20.0648,1.0,2.6889680312625615,10.316324,0.0,0.017116826355294656,0.025178181,1.0
90,0.7599545149435027,0.7763612,1.0,0.9404956205285282,0.94357044,1.0,7,5.441411,0.0,15.21777894088496,15.093381,1.0,8.40912789925244,3.8551147,1.0,8.981762255742195,14.593791,1.0,0.12942882763334101,0.12749545,1.0
91,0.7386159567788375,0.6912645,0.0,0.9323013486675227,0.81307375,1.0,5,4.8303194,1.0,1.5601969333899257,2.2573795,1.0,24.428741363460063,40.49936,0.0,1.3747593536155849,2.9779928,1.0,0.01565056367067893,0.06711342,0.0
