case,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
49,11,9.953666,0.0,7.196109617999611,8.077297,1.0,48.120786458972496,35.541283,0.0,3.6079844805969525,2.4131913,1.0,0.026553069970331866,0.038545474,1.0
50,11,10.642577,1.0,3.7847102636027934,5.344093,1.0,1.2239867796357622,1.7145176,1.0,34.627725714337714,16.041073,1.0,0.013505538284320608,0.029361663,1.0
51,14,14.010795,1.0,12.09016714489354,15.551933,1.0,4.18446851094988,5.6177225,1.0,1.7482442341227582,11.188241,1.0,0.15571963358901422,0.21205902,1.0
52,10,9.995147,1.0,2.0195228343701768,2.636064,1.0,1.7598776692610874,3.0720904,1.0,19.969948510710758,14.198894,1.0,0.15371074276545896,0.2027353,1.0
53,9,8.940843,1.0,1.2670870361134738,2.4768772,1.0,6.341552981447503,6.659995,1.0,45.760723682567175,12.722583,0.0,0.012632432767662821,0.03144596,1.0
54,11,10.521262,1.0,14.709948671795015,16.151722,1.0,15.07763553952927,13.104665,1.0,24.350926340521248,11.727804,0.0,0.013197686585128831,0.01714558,1.0
55,9,8.999271,1.0,3.0507017270733128,4.410681,1.0,1.5515767549056991,1.7948041,1.0,4.926726346819357,14.571946,1.0,0.37259757625064566,0.35083288,1.0
56,7,6.9935937,1.0,39.34450108522485,43.151592,1.0,6.580064181271465,16.030836,1.0,9.568951679880659,8.909692,1.0,0.010307411263240626,0.015500514,1.0
57,7,6.630494,1.0,36.07438934456766,41.939156,1.0,15.705400890580139,13.741014,1.0,48.25262612601062,19.836403,0.0,0.13198987427802092,0.17383747,1.0
58,16,15.683541,1.0,10.075338694369497,9.248731,1.0,14.24807613693504,13.686256,1.0,2.0401335261446714,7.787881,1.0,0.11826473782492183,0.107381076,1.0
59,5,4.154131,0.0,3.230763863310234,5.25696,0.0,6.670890388346592,7.212899,1.0,2.8081730030767447,8.180825,1.0,0.010794314199184312,0.025460359,0.0
60,13,12.017965,0.0,22.252335517959267,29.88097,1.0,30.30808221590182,36.458015,1.0,33.421252206984406,6.5286665,0.0,0.23351895111231127,0.32962325,1.0
61,10,9.957605,1.0,44.6184319406992,41.132736,1.0,4.841964722415376,12.598064,1.0,12.548749613618636,19.733255,1.0,0.054133537990564376,0.03328256,0.0
62,12,11.658719,1.0,26.753286634022746,29.191523,1.0,1.5027794321825096,12.775661,1.0,5.711582021844835,5.141488,1.0,0.010538252853260146,0.025292655,0.0
