case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
88,0.6458036108422318,0.6736809,1.0,0.852530016342084,0.918345,1.0,10,9.3397875,1.0,55.895669304666384,68.12167,1.0,26.313354795986893,27.193268,1.0,17.415738051942757,9.175338,1.0,10.039048218115543,21.09388,1.0,0.07971659026672087,0.06523805,1.0
89,0.7402550133974796,0.7142427,1.0,0.7579874819410422,0.7146184,1.0,5,5.164463,1.0,40.669039715727976,51.72654,1.0,10.740555793238267,6.4273257,1.0,3.1237267660115924,2.783626,1.0,1.118960045618306,12.756728,0.0,0.3163333116811393,0.3067077,1.0
90,0.9742883543430536,0.9270133,1.0,0.9512977603247637,0.94905853,1.0,14,13.745317,1.0,25.773223142268606,24.450977,1.0,3.5865547073455613,12.525107,0.0,2.414074459838557,3.0155663,1.0,1.6444349655959511,9.115493,1.0,0.014352812493700837,0.0894886,0.0
91,0.9829535647187471,0.93800026,0.0,0.6433567226714512,0.5376936,0.0,5,4.980659,1.0,66.61956666976104,66.02192,1.0,4.915705772966309,12.915728,1.0,8.148959456693254,21.703947,1.0,13.842332433362456,21.57949,1.0,0.06205445588004548,0.17718701,1.0
92,0.952704856430826,0.86958325,1.0,0.9453424647429043,0.9641079,1.0,11,11.22895,1.0,99.0586192869542,76.709175,0.0,47.44935717645808,34.452923,1.0,2.9649888482562714,9.435924,1.0,31.76452116004235,21.729397,1.0,0.35148728651255323,0.13523625,0.0
93,0.768617149560209,0.8542393,0.0,0.825763598718972,0.7170523,1.0,10,10.592539,1.0,94.68039430540536,52.34628,0.0,5.320791033824095,7.5695267,1.0,3.383448959327147,2.4125605,1.0,4.990155101199204,13.168237,1.0,0.39293124553357983,0.28997457,1.0
94,0.9071387527924325,0.8898962,1.0,0.9199303710091854,0.9116535,1.0,7,6.2964864,1.0,16.42787022694942,39.247936,1.0,19.862749653226683,15.26761,1.0,12.24173143468654,13.826733,1.0,14.433085689200388,11.12785,1.0,0.015225811391496003,0.026063873,1.0
95,0.5435692915222505,0.5448981,1.0,0.7332571033893434,0.7076601,1.0,8,8.287795,1.0,48.83184032535805,50.063595,1.0,1.332177936461468,6.470581,1.0,11.353350323592487,7.0776544,1.0,1.6972815739437068,12.197537,1.0,0.3847596712747355,0.22302918,1.0
96,0.7833223377582149,0.81703675,1.0,0.8223517579097139,0.788452,1.0,7,8.013783,0.0,32.22359650409564,51.377705,1.0,1.140620320382719,2.473854,1.0,31.424019889023928,27.124067,1.0,35.370113150572365,14.383331,1.0,0.19204613976701965,0.2052513,1.0
97,0.5649381368177118,0.664777,1.0,0.8635550734856723,0.8598822,1.0,15,9.934072,1.0,21.251814383857347,60.896057,1.0,48.50464627737259,30.119968,1.0,4.44574000084305,17.791985,1.0,1.3021343194421462,4.8465514,1.0,0.047407331960583,0.060731284,1.0
98,0.8257764901513437,0.8603793,1.0,0.726222016401949,0.7053186,1.0,10,10.610133,1.0,82.44229180478561,55.99691,1.0,2.4867981586227854,9.543309,1.0,3.092568525163258,1.7353189,1.0,5.5700627072910285,13.775277,1.0,0.46453175748970515,0.34131408,1.0
99,0.83321442374201,0.8211,1.0,0.5166289912300772,0.56891394,1.0,11,11.4311,1.0,23.661065645334467,50.927456,1.0,4.872325119796146,5.7822127,1.0,12.670334210832852,14.167502,1.0,6.365052155256132,14.427203,1.0,0.10708505178362576,0.12660469,1.0
100,0.8726488863647925,0.86975145,1.0,0.7951272976268423,0.89259756,0.0,14,13.888703,1.0,44.98211495279779,52.12176,1.0,27.858651793851962,23.651043,1.0,7.24958819020268,11.323771,1.0,38.9353709658838,15.197953,1.0,0.016237126330237935,0.034297638,1.0
101,0.7796646320301557,0.65963024,1.0,0.8482336632847519,0.85013914,1.0,5,9.786716,1.0,39.63450586882771,61.494766,1.0,49.92558187078434,29.73726,1.0,34.364601258933526,17.703749,1.0,2.0572304680182456,4.0193567,1.0,0.039335628510568814,0.05556652,1.0
102,0.8234773987630328,0.84789866,1.0,0.5594032560833584,0.54964054,1.0,10,10.83373,0.0,46.32939834130844,60.860874,1.0,1.4173281562065043,6.1646824,1.0,11.579813629902825,11.628367,1.0,32.509529116432105,16.415178,1.0,0.2887817776789571,0.24457605,1.0
103,0.8078351407227493,0.8076378,1.0,0.8070022250715745,0.7280391,1.0,6,6.25708,1.0,75.88760108431617,54.217415,1.0,6.239260162141159,7.2970243,1.0,3.50654751254615,2.177669,1.0,48.077652548322376,13.409213,0.0,0.4849927631148759,0.32955837,1.0
104,0.9240016813466667,0.90319395,1.0,0.8157163927837658,0.9075174,1.0,11,11.2921,1.0,53.45446704831251,52.53032,1.0,8.135996442727684,10.659069,1.0,7.520754293439719,12.129953,1.0,1.3139480787979267,11.797504,1.0,0.13563789512877827,0.20755987,1.0
105,0.7157994991978105,0.7615607,1.0,0.9643624594041249,0.8583082,1.0,7,6.325813,1.0,57.97107499075652,53.995384,1.0,44.39346468618583,34.772167,1.0,43.43683209639926,15.358443,0.0,3.673266918066011,4.100867,1.0,0.3569734470498937,0.041689266,0.0
106,0.7699250637512001,0.77179074,1.0,0.9544052267385347,0.8165503,0.0,9,7.868671,1.0,76.82979760966002,54.77575,1.0,1.8239096120539278,13.287416,0.0,5.763925551311284,13.51909,1.0,5.774493438638879,11.676877,1.0,0.044937016005554664,0.18430646,1.0
107,0.5989435602311863,0.6160166,1.0,0.7861575450241254,0.8488957,1.0,13,11.530385,1.0,24.700310730481114,43.146187,1.0,16.07897051056691,14.371407,1.0,23.20694044214706,11.733357,1.0,48.902494877210614,18.126316,0.0,0.017204773732417297,0.02436878,1.0
108,0.9581178647246464,0.9487453,1.0,0.8203528146084129,0.6098331,0.0,13,12.49158,1.0,27.49461733977104,55.84025,1.0,1.0442434494719677,2.3956342,1.0,22.64110288364033,26.868074,1.0,4.08946908990336,6.7648706,1.0,0.025627340286981222,0.040495664,1.0
109,0.9755784554222642,0.8727752,0.0,0.8166251386669979,0.88362384,1.0,9,9.307228,1.0,53.42455477869108,64.51502,1.0,26.86088651277444,32.537197,1.0,1.070422522861352,5.2831593,0.0,2.101239381781856,11.378774,1.0,0.23986059344371208,0.3379629,1.0
110,0.8805077433586759,0.8658835,1.0,0.6037330945701657,0.594327,1.0,6,5.589788,1.0,41.52382821258943,70.97143,1.0,24.538888319493118,20.10866,1.0,18.786038416059128,24.678879,1.0,27.123403706696788,28.487534,1.0,0.05097337681079721,0.038842484,1.0
111,0.8192584337469409,0.82645714,1.0,0.6205873103162802,0.58781075,1.0,14,11.434643,0.0,17.89823459267238,39.3115,1.0,3.8556116444572694,8.025905,1.0,8.688009183745454,9.440149,1.0,14.242454367248603,17.364832,1.0,0.011604930043144918,0.03210435,1.0
112,0.7471453529611976,0.7224818,1.0,0.9581318263922403,0.70669204,1.0,6,6.2427764,1.0,13.303430284829862,57.48143,0.0,19.873492763258067,11.784144,1.0,1.0343953616068147,1.7486953,1.0,31.954772088652806,14.417122,1.0,0.4963366297738164,0.35763848,1.0
