case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_time,mu_cost_time,hit90_cost_time
52,0.8814608608063539,0.823643,0.0,0.7935990280333644,0.8959425,1.0,14,14.021564,1.0,54.682665004882836,44.102085,1.0,2.0901170239561946,4.254883,1.0,14.541586422919261,24.717657,0.0,0.016421752727373725,0.045836203,1.0
53,0.6426568643603396,0.6694527,0.0,0.8688232136126113,0.8608934,1.0,12,11.346285,1.0,77.41561694723863,52.980522,1.0,4.634137914454276,8.306516,1.0,1.0949061563717644,2.2170093,1.0,0.02330403604680565,0.04087145,1.0
54,0.8828492105487142,0.8758661,1.0,0.6227608926543744,0.6303817,1.0,6,5.49863,1.0,77.3040562880097,57.509384,1.0,3.0833839217492858,8.403238,0.0,32.682418076601245,29.549969,1.0,0.012753886304787338,0.040000744,0.0
55,0.6349222542671149,0.6217915,1.0,0.555091406237327,0.69241637,1.0,10,8.74514,1.0,21.637952370656542,60.298077,1.0,25.892051171507394,23.40659,1.0,17.765007272183283,15.523607,1.0,0.15605411494952134,0.17723274,1.0
56,0.6750795272566135,0.67242765,1.0,0.7732393002010753,0.71646786,1.0,4,4.3885713,1.0,98.65964262957263,57.27552,0.0,1.2030617047835526,7.443515,0.0,47.28417835801788,40.889664,1.0,0.014660074688883027,0.089847736,0.0
57,0.7600615494540846,0.75942343,1.0,0.694568712543082,0.73361355,1.0,13,13.141078,1.0,18.528413605064173,45.583897,1.0,8.283763199590874,7.2575574,1.0,1.659965482348027,2.1031024,1.0,0.27071404059466897,0.30246425,1.0
58,0.9583679838175456,0.96542513,1.0,0.8588105307803302,0.92614317,1.0,10,10.259406,1.0,65.12152633718404,33.766552,1.0,1.2296933733556201,2.0138853,1.0,4.354305807636498,11.318211,1.0,0.03589700376009849,0.07257634,1.0
59,0.6312025780205865,0.6157331,0.0,0.5272602906905284,0.69150966,0.0,7,6.6142898,1.0,81.18500084181197,51.471474,1.0,6.116958601452949,10.959486,1.0,26.262685376467264,23.754692,1.0,0.051226240363438424,0.10004078,1.0
60,0.9231999092669019,0.86220753,0.0,0.5922714352667844,0.5423864,1.0,10,9.532016,1.0,89.23997723856583,83.0117,1.0,3.3397418298183794,2.0556333,0.0,6.454393223033316,7.3616815,1.0,0.02371247339784588,0.013842874,0.0
61,0.5319247735638066,0.53977895,1.0,0.7210817878046742,0.77143335,1.0,9,8.931012,1.0,23.742856062639625,54.827095,1.0,3.5001937259864904,2.2102191,1.0,19.71725167093835,20.746473,1.0,0.2227421460900592,0.26750273,1.0
62,0.90942186916276,0.88456017,1.0,0.6516910102907424,0.6323339,1.0,9,7.4389215,0.0,21.758851043713314,40.912907,1.0,19.54136588979353,15.727543,1.0,20.093772108287244,16.143583,1.0,0.14105998320528124,0.10319588,1.0
63,0.6418528527864032,0.6416845,1.0,0.6097331407946162,0.601121,1.0,7,7.018969,1.0,31.908629057514098,62.39817,1.0,1.4183925215070157,2.7596743,1.0,6.0339812155296,6.394456,1.0,0.17513821246730601,0.17867866,1.0
64,0.667643024515254,0.64931214,1.0,0.7600142840363941,0.869062,1.0,11,11.053157,1.0,75.68536289015937,46.83742,1.0,1.3090767934149101,4.1399,1.0,1.0055508445316284,4.2290487,0.0,0.04949480530914929,0.18606122,0.0
65,0.7770580590005916,0.8078745,0.0,0.8296814268241531,0.7880309,1.0,15,14.873356,1.0,62.555089035482084,48.536617,1.0,1.7345910120414774,2.7920556,1.0,29.917590638850843,28.411806,1.0,0.0249369979814537,0.035368137,1.0
66,0.9562572385379859,0.9563627,1.0,0.8446980674055233,0.8928042,1.0,15,15.163779,1.0,98.92903138012674,42.68676,0.0,1.1915018287222452,4.6203046,0.0,1.600443240442269,4.0086985,1.0,0.026195956092136322,0.093496,1.0
67,0.6628717986571955,0.68638957,1.0,0.6846933008044294,0.6766948,1.0,14,13.442667,1.0,54.60418224212878,63.069305,1.0,5.549134265157943,7.6681757,1.0,25.526344181958777,25.673983,1.0,0.013645802650043405,0.021850819,1.0
68,0.5598281110882475,0.56555176,1.0,0.8056287421762606,0.94285816,0.0,8,8.296718,1.0,36.38172973507321,27.258598,1.0,2.4337781709062627,4.903687,1.0,1.8854622183083554,2.1600149,1.0,0.019008556771828215,0.032963265,1.0
69,0.5920886116116593,0.5855515,1.0,0.6301068672618197,0.77682084,1.0,14,13.177753,0.0,14.096245586782036,46.732746,1.0,9.711626617857146,5.4489713,1.0,16.079705675662503,9.392853,0.0,0.041639319645169565,0.03019171,1.0
70,0.9021856005924729,0.86042285,0.0,0.5637051510562601,0.7223673,1.0,13,13.150041,1.0,24.42633986805925,48.404285,1.0,3.977539675816974,10.406535,1.0,1.0084155361494072,1.4711797,1.0,0.312916404158479,0.39727753,1.0
71,0.546203858974142,0.5522012,1.0,0.6093501751457933,0.7026975,1.0,13,12.778891,1.0,78.05425453912513,54.75674,1.0,1.0389681734384328,2.8351529,0.0,7.2539987714291225,9.425027,1.0,0.0484539959865716,0.074920036,1.0
72,0.5565922919683943,0.5548198,1.0,0.755225678296759,0.60598767,0.0,16,15.5684,1.0,30.19601263356303,60.907955,1.0,8.904557786952322,5.41172,1.0,14.906237948192919,12.543819,1.0,0.19310748202873634,0.1326686,1.0
73,0.9352358832440513,0.8163802,1.0,0.6049457285535396,0.7477947,0.0,11,10.610145,1.0,43.529956624317855,62.368717,1.0,39.34229864255985,29.937893,1.0,6.4684938796328755,14.59866,1.0,0.014714338335827732,0.03546295,1.0
74,0.7173511186888897,0.7775106,0.0,0.9343881316596327,0.9220762,1.0,10,8.707089,0.0,78.75416462543824,42.75158,1.0,2.798089759261886,4.220789,1.0,5.666406224240637,4.7683916,1.0,0.03373358317577134,0.027127031,1.0
75,0.5106201886714645,0.68350816,1.0,0.8159159879444087,0.82818174,1.0,9,10.050347,1.0,94.28874016759342,59.444813,1.0,4.7224478683361815,28.801823,1.0,20.540861508724575,16.323652,1.0,0.14886782557075226,0.060237456,1.0
76,0.6303274549706257,0.6305211,1.0,0.8203618858841933,0.76454794,1.0,15,14.283778,0.0,81.00008244213434,76.900795,1.0,13.754491980901559,19.89794,1.0,11.602017742315866,5.8578296,1.0,0.040010290176274006,0.038317215,1.0
77,0.8823996078862699,0.92198515,0.0,0.7837573130639907,0.70296854,1.0,11,10.900579,1.0,53.631018058522464,56.223373,1.0,4.063034552495892,5.444738,1.0,1.0443629460381683,3.6260104,0.0,0.08104631060144744,0.12973885,1.0
78,0.6149092086114116,0.61546725,1.0,0.7075156548964294,0.6993391,1.0,15,15.097811,1.0,64.7286988243547,27.529715,1.0,5.04823319614169,6.92312,1.0,2.6688665324061653,3.8982894,1.0,0.0680756218806001,0.08478708,1.0
79,0.6133559122218576,0.6063265,1.0,0.7205334217821504,0.7298344,1.0,7,7.9274826,1.0,63.10878227990014,56.25994,1.0,24.478325196430134,19.521385,1.0,7.7311966887710195,7.027,1.0,0.31504982189646386,0.25871447,1.0
80,0.99186284195018,0.95747215,1.0,0.9679376016872998,0.8988334,1.0,11,9.8749695,0.0,37.95135707810523,22.135736,1.0,2.438778625187454,5.1690845,1.0,12.64733189001411,23.200817,1.0,0.013197028452853228,0.028237088,1.0
81,0.9343873677262002,0.76037866,1.0,0.9604617978198776,0.8040966,1.0,9,8.9177885,1.0,94.02344899721983,59.904316,1.0,10.58862575580443,30.43008,0.0,2.6258030109568398,14.642487,1.0,0.024295426867442828,0.0507905,1.0
82,0.6659649156819429,0.6363014,0.0,0.7957393049298662,0.82791597,1.0,8,5.354097,0.0,24.714353436970132,47.097626,1.0,39.20335145490464,34.60786,1.0,2.1005573696563578,1.5691109,1.0,0.22469948971406878,0.2366987,1.0
83,0.514945799231377,0.67882365,1.0,0.5053672490769656,0.81932837,0.0,9,10.064228,1.0,91.71232062583807,60.209446,1.0,14.686949256655028,28.547,1.0,9.073046805804587,16.119715,1.0,0.010975935797567272,0.057047457,0.0
