case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
180,0.8381143552211027,0.5041277,1.0,0.6934922668354947,0.73438466,1.0,0.5407747180386508,0.7089964,1.0,13,13.203315,1.0,0.09978838249993566,0.13857087,1.0,0.0517058876037236,0.071985334,1.0,0.0011070099889559093,0.002665577,1.0
181,0.216593633704795,0.2538074,1.0,0.9064696302923604,0.9324416,1.0,0.6086329087485565,0.668715,1.0,11,11.432488,1.0,1.1294332738268122,1.745511,1.0,0.041108902217900034,0.09401269,1.0,0.000717419316151411,0.004460491,1.0
182,0.579592718485568,0.46100527,1.0,0.8793942436892042,0.81380093,1.0,0.9630186351971384,0.9026963,1.0,12,10.63395,0.0,0.07689028071641642,0.10120424,1.0,1.967958411647426,2.0072005,1.0,0.0010512314145726294,0.00076845277,1.0
183,0.8420140307216416,0.5494181,1.0,0.656571475200421,0.7006706,1.0,0.5730169727075711,0.67605346,1.0,15,15.243815,1.0,0.16108234016205586,0.14867342,1.0,0.13650995047514797,0.096849665,1.0,0.0015261268434558735,0.0018261512,1.0
184,0.8976448952581866,0.5933861,1.0,0.5560198431247387,0.579504,1.0,0.7539385159801123,0.7039772,1.0,15,15.256942,1.0,1.163767722435636,0.9713778,1.0,0.010842389505779825,0.072367124,0.0,0.0028490067058132623,0.004499034,1.0
185,0.45135099394034073,0.48475543,1.0,0.593201634485094,0.78514636,1.0,0.770161556688144,0.7377856,1.0,10,9.002129,1.0,0.14766342880820252,0.055051826,1.0,2.1685976075949376,1.942684,1.0,0.006040734118088605,0.0033196502,1.0
186,0.5546891407568543,0.727589,1.0,0.6009621192660117,0.6622439,1.0,0.6581526715774568,0.647758,1.0,11,10.83064,1.0,0.354614709748522,0.2985959,1.0,0.29379370741475963,0.4293269,1.0,0.00023437248480672983,0.00041163212,1.0
187,0.43078302933832,0.5442983,1.0,0.7246103583044341,0.77747524,1.0,0.7931347396470818,0.8686747,1.0,13,11.968709,1.0,1.0396040703138165,0.50141424,1.0,1.6084861236534957,2.170827,1.0,0.0023589197979463376,0.0037642384,1.0
188,0.9354748366590296,0.86381495,1.0,0.69799318567277,0.69422007,1.0,0.8184620572163848,0.7742112,1.0,7,7.1193247,1.0,5.713393608654439,8.475701,1.0,0.01328619667813094,0.09245927,1.0,0.0019536314813408053,0.0017648322,1.0
189,0.19915712294553356,0.62246925,1.0,0.5072734224755379,0.5256144,1.0,0.647113451439687,0.7340451,1.0,11,10.035511,1.0,3.1499545696580706,151132.47,1.0,5.36732761253086,3.3672326,1.0,0.019337074320029374,0.004209563,0.0
190,0.6907590447663118,0.5458042,1.0,0.5820703696060638,0.66710275,1.0,0.9194227777122592,0.79427576,1.0,15,15.0565,1.0,1.3001989217575676,0.15431894,0.0,0.6679456044152409,0.3354126,1.0,0.017760671225854386,0.0035670865,0.0
191,0.20804166330882734,0.46862563,1.0,0.9737282264887389,0.90954214,1.0,0.9085501921015597,0.88976854,1.0,15,14.8245,1.0,0.10667714907288908,0.35997847,1.0,0.42616650884774343,0.5760563,1.0,0.0008382777485402319,0.004116939,1.0
192,0.0888792939541212,0.591599,1.0,0.5417487587965863,0.66190875,1.0,0.6695195662040612,0.7255723,1.0,15,15.223641,1.0,0.07266002600679221,0.1785708,1.0,0.510880256247809,0.28068584,1.0,0.0091141869237785,0.01764565,1.0
193,0.27446676558216254,0.52750003,1.0,0.7106351966827864,0.83865446,1.0,0.6282709032327398,0.7315723,1.0,12,12.218195,1.0,0.2307442991345127,0.18080792,1.0,0.3670411388107336,0.11258886,1.0,0.0069655307531488984,0.0072300094,1.0
194,0.5076993525713489,0.32397544,1.0,0.8909012788571572,0.7595094,1.0,0.7350635172987952,0.72340345,1.0,4,4.519725,1.0,0.06422586215690429,0.15122347,1.0,0.8062274771263302,1.1047112,1.0,0.0028902152411427687,0.0061897174,1.0
195,0.628952817238452,0.44670323,1.0,0.9837421253034305,0.8904284,0.0,0.9269802059110184,0.730884,0.0,10,9.473031,1.0,0.6683878176627421,2.2415535,1.0,0.044184155135803344,0.1564353,1.0,0.00026782419559945585,0.011969812,1.0
196,0.5692293004638621,0.43363494,1.0,0.7530851646078448,0.85488576,1.0,0.5159964486830073,0.71065587,1.0,15,15.2360525,1.0,0.13325113518409534,0.12309568,1.0,0.12080435085371287,0.09856222,1.0,0.006955416562790684,0.006670761,1.0
