case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
48,0.6256695750075143,0.63439244,1.0,0.6833445953647326,0.70269066,1.0,4,4.443927,1.0,1.5032803787285929,1.6406758,1.0,0.024556956321729242,0.02669705,1.0
49,0.7780464828648757,0.75914073,1.0,0.7522404068711912,0.7518168,1.0,16,15.490472,1.0,3.6079844805969525,3.1172373,1.0,0.026553069970331866,0.023093475,1.0
50,0.7729474313505921,0.84317505,1.0,0.6701126672219002,0.6801235,1.0,5,5.3937435,1.0,34.627725714337714,32.38158,1.0,0.013505538284320608,0.014728427,1.0
51,0.9273965571643921,0.92532885,1.0,0.8185554489487963,0.7428326,1.0,8,7.856366,1.0,1.7482442341227582,4.3247037,1.0,0.15571963358901422,0.15180768,1.0
52,0.7501166906926207,0.8060979,0.0,0.5898334777076399,0.59562474,1.0,6,6.1909738,1.0,19.969948510710758,20.586657,1.0,0.15371074276545896,0.16321458,1.0
53,0.6915096826072573,0.78285056,1.0,0.530255521669325,0.7783921,0.0,10,9.444071,1.0,45.760723682567175,40.097145,1.0,0.012632432767662821,0.025996875,1.0
54,0.7997858711358978,0.81068325,1.0,0.8436232406527084,0.7214027,0.0,12,11.651271,1.0,24.350926340521248,38.489975,0.0,0.013197686585128831,0.020629823,1.0
55,0.6927431694451704,0.69808364,1.0,0.6425568864317618,0.72391355,1.0,5,4.9986825,1.0,4.926726346819357,7.1681037,1.0,0.37259757625064566,0.37139508,1.0
56,0.6079920670449184,0.62803787,1.0,0.9693679224659694,0.92220837,0.0,10,9.377535,1.0,9.568951679880659,15.790264,0.0,0.010307411263240626,0.045074042,0.0
57,0.6218197292984322,0.7806838,1.0,0.958277363419893,0.8225445,0.0,12,11.3024025,1.0,48.25262612601062,40.90844,1.0,0.13198987427802092,0.029885624,0.0
58,0.9807218534941806,0.98326975,1.0,0.7952552581323611,0.6600591,1.0,12,12.0257015,1.0,2.0401335261446714,2.3939273,1.0,0.11826473782492183,0.14829451,1.0
59,0.54987409854186,0.556026,1.0,0.6498864651149654,0.86918396,0.0,10,9.08775,1.0,2.8081730030767447,3.6957498,1.0,0.010794314199184312,0.0128505975,1.0
60,0.8710729990305902,0.8300425,1.0,0.8965271888608614,0.9115709,1.0,14,13.447594,1.0,33.421252206984406,12.825788,1.0,0.23351895111231127,0.049491126,1.0
61,0.7595855578661774,0.8670128,1.0,0.9854453872836928,0.9347981,0.0,9,7.5611024,0.0,12.548749613618636,15.72157,1.0,0.054133537990564376,0.08122204,1.0
62,0.832853910933129,0.85878074,1.0,0.9200713193733286,0.8863495,1.0,5,4.8165307,1.0,5.711582021844835,7.3306203,1.0,0.010538252853260146,0.02037436,1.0
63,0.9899253734493856,0.9897488,1.0,0.884803961578053,0.87777245,1.0,14,14.096784,1.0,29.49684741528005,35.564484,1.0,0.36164431284728293,0.42377812,1.0
64,0.5070577484769166,0.5260101,1.0,0.865029875074552,0.72359437,1.0,7,7.058287,1.0,1.5627232628052443,2.9292984,1.0,0.10515263990975965,0.107262164,1.0
65,0.877365181992787,0.9117751,0.0,0.5446682738340922,0.5895977,1.0,12,11.967872,1.0,1.4337039505823925,2.9886422,1.0,0.12363103370685408,0.08275983,0.0
66,0.601507320147894,0.6009479,1.0,0.6206247277939367,0.64158607,1.0,4,4.4978027,0.0,4.924884294486186,6.5742397,1.0,0.05571056857982738,0.07386936,1.0
67,0.931244087950658,0.93114954,1.0,0.7759053899919438,0.73889834,1.0,11,10.969704,1.0,2.4112088737576207,2.8812172,1.0,0.16584551836501854,0.16594556,1.0
68,0.6870906392610097,0.68532836,1.0,0.7958275309937348,0.7760403,1.0,6,5.0971727,1.0,10.18049342960099,7.7205596,1.0,0.04207379965981771,0.023665432,1.0
69,0.8151069154844803,0.8271047,1.0,0.8780352173315662,0.7281707,1.0,15,15.023524,1.0,5.619335497283791,8.1068125,1.0,0.3112601889294725,0.40129986,1.0
70,0.9470795338022264,0.93266374,1.0,0.544930434462662,0.7103381,1.0,16,15.707508,0.0,1.3691966579175516,1.8810172,1.0,0.10082116041104543,0.11850492,1.0
71,0.9648853095283385,0.8498584,1.0,0.893047934013411,0.9093,1.0,5,4.9826393,1.0,39.78972379025225,20.567308,0.0,0.24156759127146152,0.0738324,0.0
72,0.957935887888292,0.9694408,1.0,0.6497948193418542,0.72342765,1.0,10,10.089825,1.0,2.078182147755661,6.5566807,1.0,0.3615265937057606,0.32705203,1.0
73,0.6754678934974057,0.6565558,1.0,0.7786392710345968,0.7880502,1.0,12,11.992676,1.0,9.233890853256645,11.295792,1.0,0.17516564102212417,0.19810212,1.0
74,0.6067217088118371,0.7679525,1.0,0.8081533031092727,0.76953346,1.0,4,4.1816845,1.0,39.51458268794755,38.1949,1.0,0.04011668437233299,0.023297176,1.0
75,0.6983202926133665,0.7115644,1.0,0.6543095604072975,0.556847,0.0,5,5.074799,1.0,36.29579125475613,40.120975,1.0,0.46666561750197333,0.3246915,0.0
76,0.9573717198391278,0.95225585,1.0,0.6989371104237713,0.7425896,1.0,9,9.016906,1.0,3.177891776877301,3.7141669,1.0,0.2004855227109297,0.23078464,1.0
77,0.8089243051782986,0.801167,1.0,0.8185032481276497,0.8017637,1.0,12,11.114107,1.0,2.5331435206735238,5.3941627,0.0,0.010176963283614598,0.032092933,0.0
78,0.6264613243560633,0.6029568,1.0,0.9646345516201826,0.7567892,0.0,15,15.059377,1.0,11.57525309880892,7.521956,1.0,0.2748551991698057,0.15906268,1.0
79,0.7842373230586221,0.7465895,0.0,0.5352990350949558,0.52780384,1.0,6,7.237987,1.0,8.704938799608257,8.520138,1.0,0.016117108929264122,0.016027305,1.0
80,0.575773308765819,0.58450156,1.0,0.6042194469937163,0.6135109,1.0,8,8.256121,1.0,33.722477671582894,37.32066,1.0,0.22213757674657159,0.24449958,1.0
81,0.7500128376553021,0.7681412,1.0,0.5565562710344634,0.55113643,1.0,8,7.742676,1.0,7.4960018490350855,4.542403,1.0,0.07404369058957228,0.056154434,1.0
82,0.7411332666302854,0.80458075,1.0,0.5473424484352516,0.7534366,1.0,14,13.376262,1.0,28.293509071082752,24.653587,1.0,0.027899648693480696,0.038649894,1.0
83,0.8600624286272436,0.85675186,1.0,0.7241448151057723,0.7125389,1.0,9,8.953418,1.0,17.70803576753545,9.902461,1.0,0.38456723789030256,0.40085548,1.0
84,0.5580512091508518,0.5604559,1.0,0.950709578667428,0.89641565,1.0,4,4.4204326,1.0,2.4927541300264706,1.7550088,1.0,0.023152371457898547,0.019076847,1.0
85,0.8488844405928416,0.8371526,1.0,0.6597584773094107,0.68431115,1.0,13,12.707219,1.0,22.08095308479877,21.749249,1.0,0.01841804316671263,0.01996903,1.0
86,0.6596818904785313,0.6731311,1.0,0.5111366489595355,0.73118377,0.0,10,10.063084,1.0,15.385182193275082,5.1631866,0.0,0.20913462432876756,0.32150012,0.0
87,0.7599600174636802,0.82887,1.0,0.8397775788715126,0.8535492,1.0,13,13.039166,1.0,34.68839673102942,26.195385,1.0,0.11854942106107705,0.056903865,1.0
88,0.9632046655754671,0.8704082,1.0,0.6221837107072369,0.61789525,1.0,14,12.65818,1.0,38.289433211934565,43.93305,1.0,0.17484650985404818,0.18429728,1.0
89,0.8177369511890047,0.8335591,1.0,0.5363753108980203,0.5242048,1.0,9,9.080879,1.0,25.54338636514125,30.913347,1.0,0.18531488798832038,0.20835042,1.0
90,0.9875799299089992,0.99423355,1.0,0.5104144694153143,0.716403,0.0,12,12.007078,1.0,7.961075706471996,2.9345303,0.0,0.09006918336961652,0.1571157,0.0
91,0.9003868951213985,0.8890878,1.0,0.8458097544720007,0.82700855,1.0,6,5.7685504,1.0,15.49451634490538,18.278988,1.0,0.21768764160963178,0.2709163,1.0
92,0.5298500326075593,0.5384688,1.0,0.971524965628531,0.9308063,1.0,8,7.831763,1.0,4.746600937737624,7.1792746,1.0,0.03334265218989925,0.06495621,1.0
93,0.816782510873882,0.84439087,1.0,0.7554847079881885,0.7733236,1.0,16,15.671012,1.0,5.461234141682095,6.499894,1.0,0.04431677176672139,0.053103257,1.0
94,0.6144284160155394,0.7872686,1.0,0.5157046407502316,0.81735986,0.0,14,12.031251,0.0,40.32161606730143,39.78557,1.0,0.04567563896693704,0.029983914,1.0
95,0.7195276541713713,0.6824373,0.0,0.9708082233779757,0.9053707,1.0,14,14.033535,1.0,15.348152947388032,9.79749,0.0,0.251722218066506,0.17324634,0.0
96,0.9472513602667638,0.95563257,1.0,0.8512756373393519,0.7261314,1.0,7,6.8845987,1.0,1.1986481248717746,12.058394,0.0,0.3903350925999397,0.33539465,1.0
97,0.9679411070390673,0.976854,1.0,0.9321122109369151,0.72123855,1.0,13,13.070838,1.0,2.992630781581204,8.739293,1.0,0.4033604338181422,0.34719825,1.0
98,0.5158804546145039,0.5222781,1.0,0.7609756036154199,0.7669223,1.0,15,15.185729,1.0,26.073599202019032,22.370869,1.0,0.2476483852833903,0.21144399,1.0
99,0.6940855888864628,0.7905798,1.0,0.5105700127109717,0.8260699,0.0,12,9.616552,0.0,32.37110382660744,41.67535,1.0,0.028643894426278793,0.031757288,1.0
100,0.5998482725921555,0.56069237,0.0,0.9423743599803672,0.7519174,1.0,5,5.0236535,1.0,1.3243738158416531,1.9354498,1.0,0.11600985066314426,0.07310999,0.0
101,0.8926279853494846,0.86862653,1.0,0.7024385307680412,0.69500804,1.0,14,14.341787,1.0,3.623732522231653,6.602388,1.0,0.03563613288222914,0.07182124,1.0
102,0.8342419683837379,0.84293616,1.0,0.9557475879234646,0.91249746,1.0,13,12.578209,1.0,16.07370476887158,13.526015,1.0,0.18531549836537523,0.14348444,1.0
103,0.7090627656506246,0.6892562,1.0,0.6347879487153143,0.7234432,1.0,10,10.091309,1.0,2.418621199969833,6.179556,1.0,0.2967030817914081,0.3036096,1.0
104,0.6191295586201174,0.62671864,1.0,0.8329924077201362,0.85805017,1.0,9,8.652314,1.0,9.424542027772079,7.757974,1.0,0.027751265157159446,0.020397915,1.0
105,0.868379142073211,0.8531017,1.0,0.7742258248612569,0.7476993,1.0,15,14.918746,1.0,18.27421844094188,13.791213,1.0,0.08740524421972147,0.0561432,1.0
106,0.6394610629632905,0.6454281,1.0,0.525170126339992,0.54518086,1.0,6,6.268445,1.0,9.950191505840573,10.899321,1.0,0.10211383438968162,0.10613635,1.0
107,0.7705675035041595,0.74995106,1.0,0.9318384436573308,0.9322145,1.0,11,11.213347,1.0,7.434858912343307,4.6326966,1.0,0.04084748443956739,0.02122525,1.0
108,0.8294732628622475,0.82078904,1.0,0.5217117527241888,0.52021337,1.0,13,13.63494,1.0,7.182800559437445,6.681197,1.0,0.011454523566864397,0.012225559,1.0
109,0.8700614140236871,0.81445175,1.0,0.7190550161248339,0.7275592,1.0,9,8.965642,1.0,19.534319599208565,21.109804,1.0,0.02123823312928796,0.025581356,1.0
110,0.8075355977299494,0.8487439,1.0,0.6586679745816371,0.6463644,1.0,6,5.0904455,1.0,7.640141838094552,7.259007,1.0,0.026261282523040726,0.021389175,1.0
111,0.8185287817251313,0.8671294,1.0,0.9663807511259187,0.9293737,1.0,9,8.878636,1.0,33.612256177249144,17.206564,0.0,0.28876385971028923,0.10191896,0.0
112,0.9521330640655454,0.94256103,1.0,0.6749428929769489,0.6615603,1.0,11,10.927331,1.0,1.3017527354349656,1.6775044,1.0,0.058705944972687184,0.06837749,1.0
113,0.9024692712741376,0.82698935,1.0,0.596074609994313,0.6839632,0.0,15,14.575359,1.0,25.816607610125835,29.34907,1.0,0.013640188300126876,0.029813096,1.0
114,0.9502729570385946,0.9458442,1.0,0.7549716122386667,0.7399181,1.0,12,12.075117,1.0,2.3740796193723273,6.5764585,1.0,0.22717432311676763,0.33063087,1.0
115,0.5035028279139553,0.5109252,1.0,0.751363527255882,0.69572824,1.0,6,6.075068,1.0,1.2557472044138518,1.6578062,1.0,0.013001042566798609,0.016659243,1.0
116,0.9925960536231782,0.9889775,1.0,0.5646506328428805,0.7052419,1.0,4,4.182219,1.0,1.0539926923269942,7.1340446,0.0,0.25537425231630917,0.3234257,1.0
117,0.7347842268871498,0.7302282,1.0,0.9416417781633952,0.7208883,1.0,10,10.059449,1.0,1.9582239714929086,8.65143,1.0,0.49213836917987486,0.39219946,1.0
118,0.6145945292570085,0.613197,1.0,0.9492612004618746,0.7596112,1.0,15,15.038255,1.0,3.7050374218447892,3.6025295,1.0,0.1427008178073807,0.14561075,1.0
119,0.5285288390746383,0.55617857,1.0,0.8700800007562741,0.6936733,1.0,11,11.041553,1.0,1.4910186486049624,1.4880884,1.0,0.04669603892058531,0.081947014,0.0
120,0.67654485886868,0.6797352,1.0,0.7584272929567363,0.7518833,1.0,5,5.0465927,1.0,21.671569482388584,19.638958,1.0,0.03901005725770546,0.026688645,1.0
121,0.5931855139738613,0.57196194,0.0,0.776874272833944,0.7547755,1.0,14,14.483381,1.0,6.306891474618292,4.566125,1.0,0.06304117970987981,0.04261951,1.0
122,0.9167972673014393,0.8695982,1.0,0.945849662021853,0.95216006,1.0,13,12.673038,1.0,8.844104152713038,10.230812,1.0,0.01824845783085231,0.02737967,1.0
123,0.9195664702054904,0.92336386,1.0,0.9583832760693716,0.70478886,1.0,12,12.00609,1.0,11.536351256099486,11.831931,1.0,0.30939484877696133,0.39967448,1.0
