case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
31,0.5042878763294504,0.53209585,1.0,0.9070720110971752,0.88531995,1.0,0.06556828521233493,0.5927965,1.0,0.22002986830662574,0.13725214,1.0,15,14.650558,1.0,75.83043666150505,34.04106,1.0,7.331462541898781,15.038439,1.0,0.06538747242506159,0.12220912,1.0
32,0.5696791460359454,0.58957607,1.0,0.5883380157171075,0.73302865,1.0,0.9554371034538138,0.7040037,1.0,0.9550977435795874,0.536237,1.0,8,8.133791,1.0,56.94967594675191,50.401722,1.0,1.1582671522813446,5.9262753,1.0,0.11444908466438823,0.19772588,1.0
33,0.8063847818273564,0.869527,1.0,0.6131490121865598,0.9323516,0.0,0.5064994305517708,0.43523633,1.0,0.7277487294522735,0.6882746,1.0,11,9.816999,0.0,13.254868462074718,31.896988,1.0,48.35262716363235,30.038385,1.0,0.018437020685080078,0.042074025,1.0
34,0.9615688071331094,0.93893284,1.0,0.8724515368067177,0.8625607,1.0,0.16902312579867118,0.24156366,1.0,0.731294776110055,0.70771986,1.0,5,4.5727687,1.0,34.98066506122427,56.413086,1.0,1.5744674960341276,1.5795826,1.0,0.0198073071963158,0.023157071,1.0
35,0.7741017727113944,0.75824845,1.0,0.6940242828054464,0.7955134,0.0,0.8037535206033314,0.5824559,1.0,0.3261744644885437,0.15526932,1.0,13,12.228275,0.0,82.53012619964726,82.092606,1.0,20.88537012359221,17.934153,1.0,0.01581804465619325,0.02901777,1.0
36,0.9519667311883118,0.916535,1.0,0.7728227894043134,0.7231099,0.0,0.3132260835006645,0.22458905,1.0,0.3188708308237259,0.26081318,1.0,13,12.640378,1.0,46.217931919127054,62.901962,1.0,1.435069532691953,2.1120434,1.0,0.0161395422349782,0.02479404,1.0
37,0.9999694989277219,0.918648,0.0,0.962103625648989,0.8978693,1.0,0.8013561587920063,0.46245885,0.0,0.16588863138980448,0.18364415,1.0,11,10.28572,1.0,72.30486489765862,56.486515,1.0,4.089037240398231,5.2860994,1.0,0.0308807305947967,0.03147726,1.0
38,0.7749875015878158,0.7918726,1.0,0.5106584815190263,0.609103,1.0,0.9456797623499399,0.9468074,1.0,0.4197549687759018,0.6505155,1.0,16,15.296901,0.0,31.83920070926045,49.925507,1.0,10.78013323783282,3.7613368,0.0,0.08521073811481737,0.044224814,0.0
39,0.677190325474628,0.68939906,1.0,0.9807340899363658,0.8052631,1.0,0.28202761319628955,0.51293725,1.0,0.04779906425532743,0.39186183,1.0,9,9.865482,1.0,55.58152128413312,61.80263,1.0,30.176519404524957,33.678116,1.0,0.09387586242333827,0.041118532,1.0
40,0.7908793025763652,0.6549004,1.0,0.5930232625888022,0.7387623,1.0,0.6765139577885498,0.5444147,1.0,0.2927796238833773,0.49741924,1.0,10,10.150989,1.0,65.76820635262035,39.844288,1.0,1.0640968466515266,3.4707167,0.0,0.2832495165086573,0.21949042,1.0
41,0.507620071126811,0.59139174,0.0,0.7467131445873632,0.7321472,1.0,0.7525245396977581,0.6863418,1.0,0.6473639375386142,0.49390146,1.0,6,6.1088686,1.0,61.77305489529808,44.65483,1.0,1.06968876983592,1.2865134,1.0,0.01700591133741831,0.04916297,0.0
