case,gt_q_d,mu_q_d,hit90_q_d,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp
147,0.5795634995419028,0.6970909,1.0,0.7807415954376553,0.8248906,1.0,0.9809055979582175,0.97960484,1.0,15,15.233995,1.0,43.746679930315786,45.58599,1.0
148,0.7765224905007779,0.52118886,0.0,0.9998497747493893,0.7072179,0.0,0.9638401745247547,0.9606438,1.0,15,14.884794,1.0,47.640521666233475,52.233448,1.0
149,0.5920735737496279,0.54566884,1.0,0.7574650338107611,0.6101893,1.0,0.5509814900654451,0.5610306,1.0,14,14.157148,1.0,46.13982463791817,71.55812,1.0
150,0.9011489669336679,0.8863712,1.0,0.7241285540551988,0.69461954,1.0,0.6543431716237523,0.6505339,1.0,8,8.011762,1.0,69.23400118436902,59.36932,1.0
151,0.8721271636860861,0.8538698,1.0,0.24669080290161882,0.2370506,1.0,0.506752520364808,0.51951575,1.0,12,12.040841,1.0,39.70049981016054,38.10732,1.0
152,0.9936535540969822,0.9677977,1.0,0.554039043021248,0.23888735,1.0,0.7825786581257124,0.7734889,1.0,7,7.0387444,1.0,16.865229262850853,20.323563,1.0
153,0.6650206778102166,0.6630598,1.0,0.4846612641112714,0.41320744,1.0,0.8726927314477102,0.87429065,1.0,9,8.216197,1.0,76.86785254920959,88.75897,1.0
154,0.6726348010602423,0.6634495,1.0,0.7240283515238823,0.72216904,1.0,0.5808481383656598,0.59122455,1.0,5,5.00002,1.0,39.365628767000025,48.098164,1.0
155,0.7472724705415452,0.7376738,1.0,0.5577927038698354,0.59810305,1.0,0.796347522462052,0.8030498,1.0,11,10.860324,1.0,64.44732542260576,72.97385,1.0
156,0.7003452632386017,0.7802145,0.0,0.08698701555614141,0.6761591,0.0,0.7933503962643282,0.7480273,0.0,6,4.4807453,0.0,14.39104366643182,45.29057,0.0
157,0.8893820010669263,0.8701336,1.0,0.241362682169741,0.3043716,1.0,0.9635470996217814,0.964074,1.0,15,14.585494,1.0,48.62814382005654,50.98785,1.0
158,0.5518849093097008,0.57365483,1.0,0.5287070509245422,0.3850949,1.0,0.8073135972351935,0.79033685,1.0,8,8.059687,1.0,27.34238595443718,22.760056,1.0
159,0.9619880363726778,0.9641898,1.0,0.64556028299083,0.6344054,1.0,0.5360019606478434,0.53403616,1.0,14,14.104025,1.0,52.11371737351431,68.81214,1.0
