case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
82,0.8516548305493119,0.65959746,1.0,0.8292431540184109,0.70792055,1.0,0.9164271722856009,0.79528105,1.0,6,5.47487,1.0,36.13879535017951,33.26222,1.0,0.01977035197746761,0.01826791,1.0
83,0.42492125198874986,0.52490747,1.0,0.5128570994339228,0.518799,1.0,0.8587158526749599,0.89710414,1.0,7,7.348499,1.0,1.4329924109478607,1.1005713,1.0,0.009199125574510185,0.008673367,1.0
84,0.8665040305590891,0.7746037,1.0,0.5996400356976122,0.6214297,1.0,0.7844922004518728,0.8016869,1.0,12,12.781606,1.0,7.264271028829141,8.77056,1.0,0.03537187111690125,0.0466111,1.0
85,0.4717192010897273,0.66166806,1.0,0.9866763738858928,0.7080077,0.0,0.8156872054353638,0.79350597,1.0,11,10.542352,1.0,45.470902168309685,35.60369,1.0,0.009936143228850213,0.018896535,1.0
86,0.8713368080670708,0.31707823,0.0,0.9859088087279334,0.8694613,1.0,0.631275755854483,0.67847705,1.0,5,4.5099773,1.0,35.48396362765808,29.88194,1.0,0.023433816973571213,0.017484272,1.0
87,0.7631726874970537,0.5032843,1.0,0.8751455028985435,0.6721202,1.0,0.5950609421570222,0.7363171,1.0,11,11.184625,1.0,0.785678378665028,1.5089729,1.0,0.2632897886485723,0.16828005,1.0
88,0.5106579877729821,0.4103799,1.0,0.859625697869806,0.83639413,1.0,0.944008654850967,0.94911194,1.0,9,9.05113,1.0,9.748554483697626,9.678535,1.0,0.23762690552517818,0.21653748,1.0
89,0.42622560992228764,0.1885002,1.0,0.8624467666301098,0.76268286,1.0,0.8541666779965049,0.7474164,1.0,4,4.593526,0.0,11.236310630957119,19.029753,1.0,0.4644303977423182,0.38958725,1.0
90,0.061180218989159485,0.45553198,1.0,0.5285592834008147,0.6451152,0.0,0.5088300145028758,0.7129244,0.0,10,10.168359,1.0,1.30472274529755,13.883772,0.0,0.30206543798094154,0.3655155,1.0
91,0.11590131054951214,0.26304328,1.0,0.8769013923286202,0.8972023,1.0,0.6359496752911633,0.6662225,0.0,10,11.068357,1.0,8.864455828458997,7.5859976,1.0,0.0295938456144795,0.02845821,1.0
92,0.2326428845695252,0.22589858,1.0,0.8186373813084347,0.84294105,1.0,0.871815897839875,0.7955828,1.0,9,9.114233,1.0,0.8655909528359556,5.1331306,1.0,0.2750459465869161,0.30550572,1.0
93,0.8021064241048891,0.7078619,0.0,0.990332170407535,0.9331252,0.0,0.5360343877132601,0.539187,1.0,10,9.848668,1.0,2.33382605736853,2.7046034,1.0,0.013028529378647416,0.02199613,1.0
94,0.708386944192333,0.3697392,1.0,0.6951334539690979,0.87896967,0.0,0.7262339495676726,0.8135873,0.0,9,8.574875,1.0,27.9788084668263,23.176926,1.0,0.039940096620547316,0.031149719,1.0
95,0.987073491063559,0.6156101,0.0,0.6074707912771642,0.59780824,1.0,0.743824468273829,0.7282367,1.0,10,10.213039,1.0,0.5839039425695344,10.534983,0.0,0.4979739957246068,0.35232055,0.0
96,0.6211277660933346,0.5152284,1.0,0.8338982311463039,0.75912124,1.0,0.5407778149877802,0.5306524,1.0,8,8.143734,1.0,9.722649046244783,14.355605,0.0,0.020942827513132697,0.039527413,0.0
97,0.2606211223493974,0.23827824,1.0,0.5838942857898862,0.5723016,1.0,0.8664629824918828,0.74649155,1.0,14,12.64463,0.0,0.6117095980773373,1.5869502,0.0,0.005478963728011459,0.007986125,0.0
98,0.4155779665960099,0.35064283,1.0,0.8779384639380576,0.8752275,1.0,0.9530978844298807,0.8478815,1.0,7,7.162706,1.0,2.0710403004991793,4.7142735,1.0,0.46531099824694216,0.31733817,1.0
99,0.1892304119554732,0.25822973,1.0,0.8707038279848942,0.91113317,1.0,0.6364341082781199,0.6354227,1.0,9,8.078394,1.0,25.204553183319188,42.6856,0.0,0.16703442326143747,0.2729715,1.0
100,0.3553525175933736,0.6950215,1.0,0.6773713063610507,0.76672035,1.0,0.9307617528404611,0.9164005,1.0,15,13.44086,0.0,20.65037431455007,16.655731,1.0,0.11457978691555355,0.07516255,1.0
101,0.9169667858435431,0.5220714,1.0,0.6007435954429533,0.8214555,0.0,0.7577672633293164,0.80803394,1.0,13,12.161558,1.0,32.38876084904123,34.134804,1.0,0.04445413017802064,0.027286585,1.0
