case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_time,mu_cost_time,hit90_cost_time
62,0.8533768622171931,0.80723596,1.0,0.9254093085146975,0.9374766,1.0,6,6.461835,1.0,8.172525383905203,3.537604,0.0,5.488899575231557,3.5711217,1.0,0.08237730066884517,0.031580076,1.0
63,0.876255537122018,0.87789524,1.0,0.6310440895153289,0.56930906,1.0,14,13.920665,1.0,1.354562026540939,2.2981303,1.0,16.427720844199055,14.396279,1.0,0.04977870255406557,0.037235446,1.0
64,0.8407803902571508,0.8393162,1.0,0.9285733165036651,0.9451024,1.0,13,13.048432,1.0,8.566830945079356,3.3136997,1.0,35.62702461479861,17.277975,1.0,0.45379981904443123,0.22519428,0.0
65,0.7994576044523678,0.85662043,1.0,0.5692237462232765,0.5786449,1.0,5,4.283259,1.0,20.16841749268795,16.348934,1.0,15.827053731398236,11.8534,1.0,0.06667891430760904,0.044495948,1.0
66,0.9121578697111589,0.92905086,1.0,0.6240712948627456,0.6511113,1.0,5,5.233474,1.0,2.5253130280455225,3.0302143,1.0,13.062569510873162,15.422575,1.0,0.03824863709042113,0.06000686,1.0
67,0.5714853263148991,0.5746484,1.0,0.6561794821620075,0.7146943,1.0,15,13.685812,0.0,5.97138341682193,15.7302685,0.0,8.821304642038712,8.059717,1.0,0.011536203158106597,0.035091948,1.0
68,0.8437747567536746,0.8551513,1.0,0.5988942924369651,0.5420652,0.0,15,15.00927,1.0,3.496823039632533,6.3404713,1.0,14.012567348134395,15.772098,1.0,0.1256096078102227,0.14509626,1.0
69,0.9069915888797568,0.8829895,1.0,0.8764003069515642,0.8181311,0.0,14,14.00353,1.0,1.0620864381552948,2.6632295,0.0,14.925056138580901,20.543398,1.0,0.11480872174389796,0.20262167,1.0
70,0.5287308309296539,0.5319336,1.0,0.8947946365054988,0.9197506,1.0,8,8.470267,1.0,19.125140307400237,24.430897,1.0,4.371889071775845,4.076629,1.0,0.24981384908967275,0.3328284,1.0
71,0.6400226127048888,0.6451041,1.0,0.7431914349039686,0.72925085,1.0,8,7.900305,1.0,2.3131633847065105,1.8526558,1.0,2.7746867566157163,3.1060073,1.0,0.0282561470663397,0.02653807,1.0
72,0.9595115902779432,0.82003736,1.0,0.755853218033858,0.7974413,1.0,11,10.013035,0.0,14.184628830792526,20.562551,1.0,19.00922564100588,19.16738,1.0,0.015096055973789099,0.040087532,1.0
73,0.7902643746138482,0.83638024,1.0,0.6352388977654366,0.7126296,0.0,5,5.1472673,1.0,36.45090765537227,29.615488,0.0,3.357917489440079,2.5446193,1.0,0.014981536327021474,0.020438,1.0
74,0.8677122199529309,0.8519628,1.0,0.9537208580735265,0.91847986,1.0,15,14.722561,1.0,4.391909047951447,5.319274,1.0,12.196099464570594,16.112701,1.0,0.041949534273078695,0.060645454,1.0
75,0.8966189464659919,0.8931824,1.0,0.7197951209686451,0.70887053,1.0,12,12.271996,1.0,2.8507356044136816,8.499473,1.0,3.5931389356266275,6.570371,1.0,0.03202257117913457,0.10637699,1.0
76,0.82910018820528,0.8469216,1.0,0.5099398761002891,0.5811185,0.0,9,9.0020485,1.0,1.7371538582889994,2.1406994,1.0,1.7740319868673247,3.0856435,1.0,0.05893332426799541,0.09737335,1.0
77,0.8164938703484119,0.8283644,1.0,0.7992382382189456,0.7726409,1.0,6,5.480674,1.0,1.8853410351403055,2.7671537,1.0,39.7117073170502,44.448475,1.0,0.02212973659045363,0.0569572,1.0
78,0.626831533521977,0.6369344,1.0,0.8876117583119658,0.7213406,1.0,5,4.5187845,1.0,2.9827015684646097,4.590118,1.0,32.05456557945983,36.03972,1.0,0.06691726668328123,0.054531127,1.0
79,0.5252831488271621,0.6147609,1.0,0.9161991455400912,0.77979517,1.0,14,10.112594,1.0,26.61416164010821,28.138527,1.0,10.529264184343123,19.222712,1.0,0.020133568331927382,0.04865179,1.0
80,0.9511909648944847,0.9562312,1.0,0.8486547523624646,0.8771296,1.0,7,7.0860267,1.0,9.056834947724358,9.024869,1.0,30.511126229654476,27.08303,1.0,0.20296934879004178,0.18462878,1.0
81,0.9772167849651769,0.7184281,1.0,0.5259170834903493,0.6248549,1.0,7,5.309366,1.0,47.42729732072581,30.652554,1.0,43.89127943081073,21.751621,1.0,0.11295940750894186,0.07817267,1.0
